input	cpu_pre_initial	cpu_after_initial	ratio_initial	initial_after_source	status_pre_15	status_after_15	pre_1	after_1	pre_2	after_2	cpu_pre_mean	cpu_after_mean	ratio	exceeds_1_10
sa_csmith_001.c	0.100	0.100	1.000000	15s_full_lane	MATCH	MATCH	0.10	0.10	0.10	0.10	0.100	0.100	1.000000	NO
sa_csmith_004.c	0.110	0.100	0.909091	15s_full_lane	MATCH	MATCH	0.11	0.10	0.10	0.11	0.105	0.105	1.000000	NO
sa_csmith_006.c	0.180	0.180	1.000000	15s_full_lane	MATCH	MATCH	0.18	0.19	0.18	0.18	0.180	0.185	1.027778	NO
sa_csmith_100.c	0.070	0.060	0.857143	15s_full_lane	MATCH	MATCH	0.07	0.07	0.07	0.06	0.070	0.065	0.928571	NO
sa_csmith_101.c	0.070	0.070	1.000000	15s_full_lane	MATCH	MATCH	0.07	0.07	0.08	0.07	0.075	0.070	0.933333	NO
sa_csmith_102.c	0.070	0.060	0.857143	15s_full_lane	MATCH	MATCH	0.07	0.06	0.07	0.06	0.070	0.060	0.857143	NO
sa_csmith_103.c	0.060	0.060	1.000000	15s_full_lane	MATCH	MATCH	0.07	0.06	0.07	0.06	0.070	0.060	0.857143	NO
sa_csmith_104.c	0.070	0.060	0.857143	15s_full_lane	MATCH	MATCH	0.07	0.06	0.06	0.06	0.065	0.060	0.923077	NO
sa_csmith_108.c	1.700	1.890	1.111765	15s_full_lane	MATCH	MATCH	1.78	1.90	1.70	1.79	1.740	1.845	1.060345	NO
sa_csmith_117.c	0.090	0.120	1.333333	15s_full_lane	MATCH	MATCH	0.10	0.10	0.09	0.09	0.095	0.095	1.000000	NO
sa_csmith_118.c	0.200	0.240	1.200000	15s_full_lane	MATCH	MATCH	0.22	0.20	0.20	0.20	0.210	0.200	0.952381	NO
sa_csmith_119.c	0.210	0.220	1.047619	15s_full_lane	MATCH	MATCH	0.22	0.21	0.20	0.19	0.210	0.200	0.952381	NO
sa_csmith_120.c	0.300	0.280	0.933333	15s_full_lane	MATCH	MATCH	0.31	0.31	0.28	0.28	0.295	0.295	1.000000	NO
sa_csmith_121.c	0.230	0.240	1.043478	15s_full_lane	MATCH	MATCH	0.25	0.23	0.23	0.22	0.240	0.225	0.937500	NO
sa_csmith_122.c	0.160	0.180	1.125000	15s_full_lane	MATCH	MATCH	0.18	0.17	0.17	0.16	0.175	0.165	0.942857	NO
sa_csmith_123.c	0.170	0.190	1.117647	15s_full_lane	MATCH	MATCH	0.19	0.18	0.18	0.17	0.185	0.175	0.945946	NO
sa_csmith_126.c	0.110	0.100	0.909091	15s_full_lane	MATCH	MATCH	0.10	0.10	0.10	0.10	0.100	0.100	1.000000	NO
sa_csmith_13.c	0.170	0.210	1.235294	15s_full_lane	MATCH	MATCH	0.20	0.20	0.19	0.18	0.195	0.190	0.974359	NO
sa_csmith_130.c	0.060	0.060	1.000000	15s_full_lane	MATCH	MATCH	0.07	0.06	0.06	0.06	0.065	0.060	0.923077	NO
sa_csmith_132.c	0.060	0.060	1.000000	15s_full_lane	MATCH	MATCH	0.07	0.06	0.06	0.05	0.065	0.055	0.846154	NO
sa_csmith_133.c	2.910	3.270	1.123711	15s_full_lane	MATCH	MATCH	3.04	3.30	2.94	3.15	2.990	3.225	1.078595	NO
sa_csmith_134.c	0.060	0.060	1.000000	15s_full_lane	MATCH	MATCH	0.06	0.06	0.06	0.06	0.060	0.060	1.000000	NO
sa_csmith_135.c	0.140	0.150	1.071429	15s_full_lane	MATCH	MATCH	0.15	0.15	0.14	0.14	0.145	0.145	1.000000	NO
sa_csmith_137.c	0.150	0.170	1.133333	15s_full_lane	MATCH	MATCH	0.17	0.14	0.16	0.14	0.165	0.140	0.848485	NO
sa_csmith_138.c	0.180	0.200	1.111111	15s_full_lane	MATCH	MATCH	0.22	0.18	0.20	0.18	0.210	0.180	0.857143	NO
sa_csmith_139.c	0.060	0.060	1.000000	15s_full_lane	MATCH	MATCH	0.06	0.07	0.07	0.06	0.065	0.065	1.000000	NO
sa_csmith_14.c	0.070	0.060	0.857143	15s_full_lane	MATCH	MATCH	0.07	0.06	0.06	0.07	0.065	0.065	1.000000	NO
sa_csmith_141.c	0.180	0.300	1.666667	15s_full_lane	MATCH	MATCH	0.21	0.20	0.19	0.17	0.200	0.185	0.925000	NO
sa_csmith_144.c	0.070	0.100	1.428571	15s_full_lane	MATCH	MATCH	0.07	0.06	0.07	0.07	0.070	0.065	0.928571	NO
sa_csmith_145.c	0.060	0.090	1.500000	15s_full_lane	MATCH	MATCH	0.07	0.08	0.06	0.06	0.065	0.070	1.076923	NO
sa_csmith_147.c	0.180	0.210	1.166667	15s_full_lane	MATCH	MATCH	0.19	0.18	0.17	0.15	0.180	0.165	0.916667	NO
sa_csmith_149.c	0.510	0.720	1.411765	15s_full_lane	MATCH	MATCH	0.57	0.57	0.53	0.53	0.550	0.550	1.000000	NO
sa_csmith_150.c	0.060	0.080	1.333333	15s_full_lane	MATCH	MATCH	0.07	0.06	0.07	0.06	0.070	0.060	0.857143	NO
sa_csmith_153.c	0.060	0.070	1.166667	15s_full_lane	MATCH	MATCH	0.07	0.07	0.06	0.06	0.065	0.065	1.000000	NO
sa_csmith_154.c	0.060	0.070	1.166667	15s_full_lane	MATCH	MATCH	0.07	0.06	0.06	0.06	0.065	0.060	0.923077	NO
