input	cpu_pre	cpu_head	ratio	cpu_source	status_pre_15	status_head_15
sa_csmith_001.c	0.100	0.120	1.200000	15s_lane_observations	MATCH	MATCH
sa_csmith_004.c	0.110	0.140	1.272727	15s_lane_observations	MATCH	MATCH
sa_csmith_006.c	0.180	0.230	1.277778	15s_lane_observations	MATCH	MATCH
sa_csmith_100.c	0.070	0.060	0.857143	15s_lane_observations	MATCH	MATCH
sa_csmith_101.c	0.070	0.080	1.142857	15s_lane_observations	MATCH	MATCH
sa_csmith_102.c	0.070	0.070	1.000000	15s_lane_observations	MATCH	MATCH
sa_csmith_103.c	0.060	0.060	1.000000	15s_lane_observations	MATCH	MATCH
sa_csmith_104.c	0.070	0.070	1.000000	15s_lane_observations	MATCH	MATCH
sa_csmith_108.c	1.700	3.400	2.000000	15s_lane_observations	MATCH	MATCH
sa_csmith_117.c	0.090	0.120	1.333333	15s_lane_observations	MATCH	MATCH
sa_csmith_118.c	0.200	0.300	1.500000	15s_lane_observations	MATCH	MATCH
sa_csmith_119.c	0.210	0.290	1.380952	15s_lane_observations	MATCH	MATCH
sa_csmith_120.c	0.300	0.480	1.600000	15s_lane_observations	MATCH	MATCH
sa_csmith_121.c	0.230	0.350	1.521739	15s_lane_observations	MATCH	MATCH
sa_csmith_122.c	0.160	0.260	1.625000	15s_lane_observations	MATCH	MATCH
sa_csmith_123.c	0.170	0.270	1.588235	15s_lane_observations	MATCH	MATCH
sa_csmith_126.c	0.110	0.100	0.909091	15s_lane_observations	MATCH	MATCH
sa_csmith_13.c	0.170	0.210	1.235294	15s_lane_observations	MATCH	MATCH
sa_csmith_130.c	0.060	0.060	1.000000	15s_lane_observations	MATCH	MATCH
sa_csmith_132.c	0.060	0.050	0.833333	15s_lane_observations	MATCH	MATCH
sa_csmith_133.c	2.910	3.450	1.185567	15s_lane_observations	MATCH	MATCH
sa_csmith_134.c	0.060	0.050	0.833333	15s_lane_observations	MATCH	MATCH
sa_csmith_135.c	0.140	0.140	1.000000	15s_lane_observations	MATCH	MATCH
sa_csmith_137.c	0.150	0.150	1.000000	15s_lane_observations	MATCH	MATCH
sa_csmith_138.c	0.180	0.200	1.111111	15s_lane_observations	MATCH	MATCH
sa_csmith_139.c	0.060	0.050	0.833333	15s_lane_observations	MATCH	MATCH
sa_csmith_14.c	0.070	0.060	0.857143	15s_lane_observations	MATCH	MATCH
sa_csmith_141.c	0.180	0.200	1.111111	15s_lane_observations	MATCH	MATCH
sa_csmith_144.c	0.070	0.060	0.857143	15s_lane_observations	MATCH	MATCH
sa_csmith_145.c	0.060	0.060	1.000000	15s_lane_observations	MATCH	MATCH
sa_csmith_147.c	0.180	0.180	1.000000	15s_lane_observations	MATCH	MATCH
sa_csmith_149.c	0.510	1.010	1.980392	15s_lane_observations	MATCH	MATCH
sa_csmith_150.c	0.060	0.060	1.000000	15s_lane_observations	MATCH	MATCH
sa_csmith_153.c	0.060	0.060	1.000000	15s_lane_observations	MATCH	MATCH
sa_csmith_154.c	0.060	0.060	1.000000	15s_lane_observations	MATCH	MATCH
sa_csmith_159.c	0.060	0.060	1.000000	15s_lane_observations	MATCH	MATCH
sa_csmith_160.c	0.060	0.060	1.000000	15s_lane_observations	MATCH	MATCH
sa_csmith_162.c	3.810	4.100	1.076115	15s_lane_observations	MATCH	MATCH
sa_csmith_164.c	0.060	0.060	1.000000	15s_lane_observations	MATCH	MATCH
sa_csmith_166.c	0.060	0.060	1.000000	15s_lane_observations	MATCH	MATCH
sa_csmith_167.c	0.060	0.060	1.000000	15s_lane_observations	MATCH	MATCH
sa_csmith_168.c	0.230	0.210	0.913043	15s_lane_observations	MATCH	MATCH
sa_csmith_170.c	0.060	0.060	1.000000	15s_lane_observations	MATCH	MATCH
sa_csmith_171.c	0.070	0.060	0.857143	15s_lane_observations	MATCH	MATCH
sa_csmith_172.c	0.160	0.170	1.062500	15s_lane_observations	MATCH	MATCH
sa_csmith_173.c	0.220	0.260	1.181818	15s_lane_observations	MATCH	MATCH
sa_csmith_174.c	0.940	1.090	1.159574	15s_lane_observations	MATCH	MATCH
sa_csmith_176.c	0.210	0.270	1.285714	15s_lane_observations	MATCH	MATCH
sa_csmith_178.c	0.060	0.060	1.000000	15s_lane_observations	MATCH	MATCH
sa_csmith_180.c	1.200	2.390	1.991667	15s_lane_observations	MATCH	MATCH
sa_csmith_182.c	0.940	1.490	1.585106	15s_lane_observations	MATCH	MATCH
sa_csmith_183.c	1.200	1.840	1.533333	15s_lane_observations	MATCH	MATCH
sa_csmith_189.c	0.080	0.080	1.000000	15s_lane_observations	MATCH	MATCH
sa_csmith_19.c	0.180	0.220	1.222222	15s_lane_observations	MATCH	MATCH
sa_csmith_191.c	0.060	0.060	1.000000	15s_lane_observations	MATCH	MATCH
sa_csmith_192.c	0.070	0.070	1.000000	15s_lane_observations	MATCH	MATCH
sa_csmith_193.c	0.060	0.050	0.833333	15s_lane_observations	MATCH	MATCH
sa_csmith_195.c	0.190	0.210	1.105263	15s_lane_observations	MATCH	MATCH
sa_csmith_196.c	0.060	0.060	1.000000	15s_lane_observations	MATCH	MATCH
sa_csmith_198.c	0.060	0.060	1.000000	15s_lane_observations	MATCH	MATCH
sa_csmith_201.c	0.070	0.060	0.857143	15s_lane_observations	MATCH	MATCH
sa_csmith_207.c	0.080	0.070	0.875000	15s_lane_observations	MATCH	MATCH
sa_csmith_209.c	0.070	0.060	0.857143	15s_lane_observations	MATCH	MATCH
sa_csmith_21.c	0.060	0.050	0.833333	15s_lane_observations	MATCH	MATCH
sa_csmith_212.c	0.060	0.060	1.000000	15s_lane_observations	MATCH	MATCH
sa_csmith_213.c	0.080	0.070	0.875000	15s_lane_observations	MATCH	MATCH
sa_csmith_215.c	0.060	0.060	1.000000	15s_lane_observations	MATCH	MATCH
sa_csmith_218.c	0.370	0.710	1.918919	15s_lane_observations	MATCH	MATCH
sa_csmith_22.c	0.140	0.150	1.071429	15s_lane_observations	MATCH	MATCH
sa_csmith_221.c	0.060	0.050	0.833333	15s_lane_observations	MATCH	MATCH
sa_csmith_223.c	0.160	0.160	1.000000	15s_lane_observations	MATCH	MATCH
sa_csmith_225.c	0.060	0.050	0.833333	15s_lane_observations	MATCH	MATCH
sa_csmith_228.c	0.070	0.060	0.857143	15s_lane_observations	MATCH	MATCH
sa_csmith_23.c	0.060	0.050	0.833333	15s_lane_observations	MATCH	MATCH
sa_csmith_230.c	0.070	0.060	0.857143	15s_lane_observations	MATCH	MATCH
sa_csmith_234.c	0.190	0.210	1.105263	15s_lane_observations	MATCH	MATCH
sa_csmith_239.c	0.310	0.400	1.290323	15s_lane_observations	MATCH	MATCH
sa_csmith_240.c	0.060	0.060	1.000000	15s_lane_observations	MATCH	MATCH
sa_csmith_241.c	0.070	0.060	0.857143	15s_lane_observations	MATCH	MATCH
