repeat	probe	mode	engine	exit	wall_s	maxrss_kb	verdict	note	cpu_s
1	sa_csmith_369	nolibc	oracle	0	4.34	230136	VAL:Specified(57)x350	-	4.34
1	sa_csmith_369	nolibc	lean-exh	0	10.98	252912	VAL:Specified(57)x350	-	10.97
1	sa_csmith_371	nolibc	oracle	0	3.61	203320	VAL:Specified(165)x310	-	3.60
1	sa_csmith_371	nolibc	lean-exh	0	9.18	219096	VAL:Specified(165)x310	-	9.18
1	sa_csmith_419	nolibc	oracle	0	5.90	284324	VAL:Specified(222)x561	-	5.90
1	sa_csmith_419	nolibc	lean-exh	0	15.49	284832	VAL:Specified(222)x561	-	15.49
2	sa_csmith_369	nolibc	oracle	0	4.45	229516	VAL:Specified(57)x350	-	4.44
2	sa_csmith_369	nolibc	lean-exh	0	11.27	252700	VAL:Specified(57)x350	-	11.26
2	sa_csmith_371	nolibc	oracle	0	3.63	202676	VAL:Specified(165)x310	-	3.62
2	sa_csmith_371	nolibc	lean-exh	0	9.34	219484	VAL:Specified(165)x310	-	9.33
2	sa_csmith_419	nolibc	oracle	0	5.81	284036	VAL:Specified(222)x561	-	5.80
2	sa_csmith_419	nolibc	lean-exh	0	15.16	284240	VAL:Specified(222)x561	-	15.16
