repeat 1: 25/287; sa_csmith_138.c: pre CPU 0.22, after CPU 0.18; full observation multisets agree
repeat 1: 50/287; sa_csmith_180.c: pre CPU 1.22, after CPU 1.28; full observation multisets agree
repeat 1: 75/287; sa_csmith_230.c: pre CPU 0.07, after CPU 0.07; full observation multisets agree
repeat 1: 100/287; sa_csmith_279.c: pre CPU 0.09, after CPU 0.08; full observation multisets agree
repeat 1: 125/287; sa_csmith_342.c: pre CPU 6.74, after CPU 7.27; full observation multisets agree
repeat 1: 138/287; sa_csmith_369.c: pre CPU 11.06, after CPU 11.95; full observation multisets agree
repeat 1: 139/287; sa_csmith_371.c: pre CPU 9.10, after CPU 9.77; full observation multisets agree
repeat 1: 150/287; sa_csmith_392.c: pre CPU 0.07, after CPU 0.06; full observation multisets agree
repeat 1: 162/287; sa_csmith_419.c: pre CPU 14.45, after CPU 15.54; full observation multisets agree
repeat 1: 175/287; sa_csmith_447.c: pre CPU 0.07, after CPU 0.06; full observation multisets agree
repeat 1: 200/287; sa_csmith_83.c: pre CPU 0.06, after CPU 0.06; full observation multisets agree
repeat 1: 225/287; sia_csmith_018.c: pre CPU 0.20, after CPU 0.21; full observation multisets agree
repeat 1: 250/287; sia_csmith_046.c: pre CPU 0.07, after CPU 0.06; full observation multisets agree
repeat 1: 275/287; sia_csmith_075.c: pre CPU 0.06, after CPU 0.05; full observation multisets agree
repeat 1: 287/287; sia_csmith_088.c: pre CPU 3.46, after CPU 3.67; full observation multisets agree
repeat 2: 25/287; sa_csmith_138.c: pre CPU 0.20, after CPU 0.18; full observation multisets agree
repeat 2: 50/287; sa_csmith_180.c: pre CPU 1.16, after CPU 1.23; full observation multisets agree
repeat 2: 75/287; sa_csmith_230.c: pre CPU 0.07, after CPU 0.06; full observation multisets agree
repeat 2: 100/287; sa_csmith_279.c: pre CPU 0.08, after CPU 0.07; full observation multisets agree
repeat 2: 125/287; sa_csmith_342.c: pre CPU 6.42, after CPU 6.99; full observation multisets agree
repeat 2: 138/287; sa_csmith_369.c: pre CPU 10.66, after CPU 11.40; full observation multisets agree
repeat 2: 139/287; sa_csmith_371.c: pre CPU 8.86, after CPU 9.50; full observation multisets agree
repeat 2: 150/287; sa_csmith_392.c: pre CPU 0.07, after CPU 0.06; full observation multisets agree
repeat 2: 162/287; sa_csmith_419.c: pre CPU 14.55, after CPU 15.70; full observation multisets agree
repeat 2: 175/287; sa_csmith_447.c: pre CPU 0.07, after CPU 0.06; full observation multisets agree
repeat 2: 200/287; sa_csmith_83.c: pre CPU 0.07, after CPU 0.06; full observation multisets agree
repeat 2: 225/287; sia_csmith_018.c: pre CPU 0.20, after CPU 0.20; full observation multisets agree
repeat 2: 250/287; sia_csmith_046.c: pre CPU 0.07, after CPU 0.06; full observation multisets agree
repeat 2: 275/287; sia_csmith_075.c: pre CPU 0.06, after CPU 0.06; full observation multisets agree
repeat 2: 287/287; sia_csmith_088.c: pre CPU 3.45, after CPU 3.65; full observation multisets agree
D4 repeats complete: 287 inputs, two repeats per revision, 1148 oracle/Lean pairs; all full observation multisets agree; all identities unchanged.
