input	engine	exit	wall_s	cpu_s	maxrss_kb	status
sa_csmith_348.c	oracle	124	15.02	15.02	368664	CERB_SKIP
sa_csmith_348.c	lean	NA	NA	NA	NA	CERB_SKIP
sa_csmith_349.c	oracle	0	0.04	0.03	48456	MATCH
sa_csmith_349.c	lean	0	0.07	0.06	83304	MATCH
sa_csmith_35.c	oracle	0	0.04	0.04	48316	MATCH
sa_csmith_35.c	lean	0	0.07	0.06	82664	MATCH
sa_csmith_350.c	oracle	0	0.10	0.10	66644	MATCH
sa_csmith_350.c	lean	0	0.22	0.21	108308	MATCH
sa_csmith_351.c	oracle	124	15.04	15.04	621224	CERB_SKIP
sa_csmith_351.c	lean	NA	NA	NA	NA	CERB_SKIP
sa_csmith_352.c	oracle	0	0.09	0.08	62652	MATCH
sa_csmith_352.c	lean	0	0.18	0.17	105172	MATCH
sa_csmith_353.c	oracle	124	15.04	15.04	579364	CERB_SKIP
sa_csmith_353.c	lean	NA	NA	NA	NA	CERB_SKIP
sa_csmith_354.c	oracle	0	0.05	0.04	47792	MATCH
sa_csmith_354.c	lean	0	0.06	0.06	82976	MATCH
sa_csmith_355.c	oracle	124	15.04	15.04	555040	CERB_SKIP
sa_csmith_355.c	lean	NA	NA	NA	NA	CERB_SKIP
sa_csmith_356.c	oracle	0	0.04	0.04	47928	MATCH
sa_csmith_356.c	lean	0	0.07	0.06	82012	MATCH
sa_csmith_357.c	oracle	0	0.04	0.03	48876	MATCH
sa_csmith_357.c	lean	0	0.07	0.06	82584	MATCH
sa_csmith_358.c	oracle	0	0.10	0.09	66396	MATCH
sa_csmith_358.c	lean	0	0.21	0.20	109228	MATCH
sa_csmith_359.c	oracle	124	15.04	15.04	602084	CERB_SKIP
sa_csmith_359.c	lean	NA	NA	NA	NA	CERB_SKIP
sa_csmith_36.c	oracle	124	15.04	15.04	603464	CERB_SKIP
sa_csmith_36.c	lean	NA	NA	NA	NA	CERB_SKIP
sa_csmith_360.c	oracle	0	0.08	0.07	50368	MATCH
sa_csmith_360.c	lean	0	0.16	0.15	80684	MATCH
sa_csmith_361.c	oracle	124	15.04	15.03	588064	CERB_SKIP
sa_csmith_361.c	lean	NA	NA	NA	NA	CERB_SKIP
sa_csmith_362.c	oracle	124	15.05	15.04	676972	CERB_SKIP
sa_csmith_362.c	lean	NA	NA	NA	NA	CERB_SKIP
sa_csmith_363.c	oracle	124	15.05	15.04	688124	CERB_SKIP
sa_csmith_363.c	lean	NA	NA	NA	NA	CERB_SKIP
sa_csmith_364.c	oracle	124	15.04	15.03	612492	CERB_SKIP
sa_csmith_364.c	lean	NA	NA	NA	NA	CERB_SKIP
sa_csmith_365.c	oracle	124	15.05	15.04	670768	CERB_SKIP
sa_csmith_365.c	lean	NA	NA	NA	NA	CERB_SKIP
sa_csmith_366.c	oracle	124	15.05	15.04	698176	CERB_SKIP
sa_csmith_366.c	lean	NA	NA	NA	NA	CERB_SKIP
sa_csmith_367.c	oracle	0	0.04	0.04	48820	MATCH
sa_csmith_367.c	lean	0	0.06	0.06	82448	MATCH
sa_csmith_368.c	oracle	124	15.04	15.04	625744	CERB_SKIP
sa_csmith_368.c	lean	NA	NA	NA	NA	CERB_SKIP
sa_csmith_369.c	oracle	0	4.32	4.31	231344	MATCH
sa_csmith_369.c	lean	0	11.49	11.48	240800	MATCH
sa_csmith_37.c	oracle	124	15.05	15.04	671484	CERB_SKIP
sa_csmith_37.c	lean	NA	NA	NA	NA	CERB_SKIP
sa_csmith_370.c	oracle	124	15.05	15.04	653520	CERB_SKIP
sa_csmith_370.c	lean	NA	NA	NA	NA	CERB_SKIP
sa_csmith_371.c	oracle	0	3.52	3.52	203708	MATCH
sa_csmith_371.c	lean	0	9.64	9.64	209248	MATCH
sa_csmith_372.c	oracle	124	15.05	15.04	654036	CERB_SKIP
sa_csmith_372.c	lean	NA	NA	NA	NA	CERB_SKIP
sa_csmith_373.c	oracle	0	0.10	0.10	68968	MATCH
sa_csmith_373.c	lean	0	0.24	0.24	115048	MATCH
sa_csmith_374.c	oracle	124	15.05	15.04	674828	CERB_SKIP
sa_csmith_374.c	lean	NA	NA	NA	NA	CERB_SKIP
sa_csmith_375.c	oracle	124	15.03	15.02	447328	CERB_SKIP
sa_csmith_375.c	lean	NA	NA	NA	NA	CERB_SKIP
sa_csmith_376.c	oracle	0	0.39	0.38	78880	MATCH
sa_csmith_376.c	lean	0	0.99	0.99	113600	MATCH
sa_csmith_377.c	oracle	0	0.04	0.04	47952	MATCH
sa_csmith_377.c	lean	0	0.07	0.06	82472	MATCH
sa_csmith_378.c	oracle	124	15.05	15.04	654140	CERB_SKIP
sa_csmith_378.c	lean	NA	NA	NA	NA	CERB_SKIP
sa_csmith_379.c	oracle	124	15.02	15.01	330896	CERB_SKIP
sa_csmith_379.c	lean	NA	NA	NA	NA	CERB_SKIP
sa_csmith_38.c	oracle	124	15.05	15.04	674784	CERB_SKIP
sa_csmith_38.c	lean	NA	NA	NA	NA	CERB_SKIP
sa_csmith_380.c	oracle	0	0.04	0.04	49232	MATCH
sa_csmith_380.c	lean	0	0.07	0.06	82772	MATCH
sa_csmith_381.c	oracle	124	15.04	15.03	571772	CERB_SKIP
sa_csmith_381.c	lean	NA	NA	NA	NA	CERB_SKIP
sa_csmith_382.c	oracle	0	0.04	0.04	49256	MATCH
sa_csmith_382.c	lean	0	0.07	0.06	82316	MATCH
sa_csmith_383.c	oracle	124	15.05	15.04	627256	CERB_SKIP
sa_csmith_383.c	lean	NA	NA	NA	NA	CERB_SKIP
sa_csmith_384.c	oracle	124	15.04	15.03	654828	CERB_SKIP
sa_csmith_384.c	lean	NA	NA	NA	NA	CERB_SKIP
sa_csmith_385.c	oracle	0	0.04	0.04	48316	MATCH
sa_csmith_385.c	lean	0	0.07	0.06	81740	MATCH
sa_csmith_386.c	oracle	0	0.07	0.07	60268	MATCH
sa_csmith_386.c	lean	0	0.16	0.15	103080	MATCH
sa_csmith_387.c	oracle	0	0.09	0.09	67736	MATCH
sa_csmith_387.c	lean	0	0.21	0.20	110608	MATCH
sa_csmith_388.c	oracle	0	0.04	0.03	48472	MATCH
sa_csmith_388.c	lean	0	0.07	0.06	82328	MATCH
sa_csmith_389.c	oracle	124	15.04	15.03	645420	CERB_SKIP
sa_csmith_389.c	lean	NA	NA	NA	NA	CERB_SKIP
sa_csmith_39.c	oracle	124	15.04	15.03	657244	CERB_SKIP
sa_csmith_39.c	lean	NA	NA	NA	NA	CERB_SKIP
sa_csmith_390.c	oracle	0	0.04	0.04	48304	MATCH
sa_csmith_390.c	lean	0	0.07	0.06	81896	MATCH
sa_csmith_391.c	oracle	124	15.04	15.03	579160	CERB_SKIP
sa_csmith_391.c	lean	NA	NA	NA	NA	CERB_SKIP
sa_csmith_392.c	oracle	0	0.04	0.04	47892	MATCH
sa_csmith_392.c	lean	0	0.06	0.06	82716	MATCH
sa_csmith_393.c	oracle	124	15.04	15.03	601396	CERB_SKIP
sa_csmith_393.c	lean	NA	NA	NA	NA	CERB_SKIP
sa_csmith_394.c	oracle	0	0.04	0.03	48640	MATCH
sa_csmith_394.c	lean	0	0.07	0.06	81996	MATCH
sa_csmith_395.c	oracle	124	15.04	15.03	624056	CERB_SKIP
sa_csmith_395.c	lean	NA	NA	NA	NA	CERB_SKIP
sa_csmith_396.c	oracle	0	0.08	0.07	59808	MATCH
sa_csmith_396.c	lean	0	0.17	0.16	100864	MATCH
sa_csmith_397.c	oracle	0	0.09	0.09	63160	MATCH
sa_csmith_397.c	lean	0	0.20	0.20	103424	MATCH
sa_csmith_398.c	oracle	0	0.04	0.03	48536	MATCH
sa_csmith_398.c	lean	0	0.07	0.06	83552	MATCH
sa_csmith_399.c	oracle	124	15.05	15.04	636276	CERB_SKIP
sa_csmith_399.c	lean	NA	NA	NA	NA	CERB_SKIP
sa_csmith_40.c	oracle	0	0.04	0.03	48600	MATCH
sa_csmith_40.c	lean	0	0.06	0.06	82652	MATCH
sa_csmith_400.c	oracle	124	15.05	15.04	673540	CERB_SKIP
sa_csmith_400.c	lean	NA	NA	NA	NA	CERB_SKIP
sa_csmith_401.c	oracle	124	15.05	15.04	675240	CERB_SKIP
sa_csmith_401.c	lean	NA	NA	NA	NA	CERB_SKIP
sa_csmith_402.c	oracle	124	15.05	15.04	623000	CERB_SKIP
sa_csmith_402.c	lean	NA	NA	NA	NA	CERB_SKIP
sa_csmith_403.c	oracle	0	0.06	0.05	49972	MATCH
sa_csmith_403.c	lean	0	0.12	0.11	83912	MATCH
sa_csmith_404.c	oracle	124	15.05	15.04	635168	CERB_SKIP
sa_csmith_404.c	lean	NA	NA	NA	NA	CERB_SKIP
sa_csmith_405.c	oracle	124	15.06	15.05	636368	CERB_SKIP
sa_csmith_405.c	lean	NA	NA	NA	NA	CERB_SKIP
sa_csmith_406.c	oracle	0	0.05	0.04	48440	MATCH
sa_csmith_406.c	lean	0	0.07	0.07	82308	MATCH
sa_csmith_407.c	oracle	0	0.04	0.04	48400	MATCH
sa_csmith_407.c	lean	0	0.07	0.06	83204	MATCH
sa_csmith_408.c	oracle	0	0.04	0.04	48952	MATCH
sa_csmith_408.c	lean	0	0.06	0.06	83072	MATCH
sa_csmith_409.c	oracle	0	0.09	0.09	62624	MATCH
sa_csmith_409.c	lean	0	0.19	0.18	104968	MATCH
sa_csmith_41.c	oracle	124	15.04	15.03	606676	CERB_SKIP
sa_csmith_41.c	lean	NA	NA	NA	NA	CERB_SKIP
sa_csmith_410.c	oracle	124	15.05	15.04	649380	CERB_SKIP
sa_csmith_410.c	lean	NA	NA	NA	NA	CERB_SKIP
sa_csmith_411.c	oracle	124	15.05	15.04	630668	CERB_SKIP
sa_csmith_411.c	lean	NA	NA	NA	NA	CERB_SKIP
sa_csmith_412.c	oracle	124	15.04	15.04	582176	CERB_SKIP
sa_csmith_412.c	lean	NA	NA	NA	NA	CERB_SKIP
sa_csmith_413.c	oracle	124	15.05	15.04	640148	CERB_SKIP
sa_csmith_413.c	lean	NA	NA	NA	NA	CERB_SKIP
sa_csmith_414.c	oracle	124	15.02	15.02	359900	CERB_SKIP
sa_csmith_414.c	lean	NA	NA	NA	NA	CERB_SKIP
sa_csmith_415.c	oracle	124	15.04	15.03	590744	CERB_SKIP
sa_csmith_415.c	lean	NA	NA	NA	NA	CERB_SKIP
sa_csmith_416.c	oracle	124	15.04	15.04	555856	CERB_SKIP
sa_csmith_416.c	lean	NA	NA	NA	NA	CERB_SKIP
sa_csmith_417.c	oracle	0	0.07	0.07	59704	MATCH
sa_csmith_417.c	lean	0	0.15	0.15	100668	MATCH
sa_csmith_418.c	oracle	124	15.05	15.05	629760	CERB_SKIP
sa_csmith_418.c	lean	NA	NA	NA	NA	CERB_SKIP
sa_csmith_419.c	oracle	0	5.77	5.77	285200	TIMEOUT
