input	engine	exit	wall_s	cpu_s	maxrss_kb	status
sa_csmith_001.c	oracle	0	0.06	0.05	49560	MATCH
sa_csmith_001.c	lean	0	0.11	0.10	83904	MATCH
sa_csmith_002.c	oracle	125	0.05	0.04	48352	CERB_SKIP
sa_csmith_002.c	lean	NA	NA	NA	NA	CERB_SKIP
sa_csmith_003.c	oracle	125	0.04	0.03	45748	CERB_SKIP
sa_csmith_003.c	lean	NA	NA	NA	NA	CERB_SKIP
sa_csmith_004.c	oracle	0	0.06	0.05	49384	MATCH
sa_csmith_004.c	lean	0	0.11	0.10	86416	MATCH
sa_csmith_005.c	oracle	125	0.03	0.03	45104	CERB_SKIP
sa_csmith_005.c	lean	NA	NA	NA	NA	CERB_SKIP
sa_csmith_006.c	oracle	0	0.08	0.08	51160	MATCH
sa_csmith_006.c	lean	0	0.19	0.18	83524	MATCH
sa_csmith_10.c	oracle	124	15.05	15.04	643100	CERB_SKIP
sa_csmith_10.c	lean	NA	NA	NA	NA	CERB_SKIP
sa_csmith_100.c	oracle	0	0.04	0.03	48880	MATCH
sa_csmith_100.c	lean	0	0.07	0.06	84268	MATCH
sa_csmith_101.c	oracle	0	0.05	0.04	47896	MATCH
sa_csmith_101.c	lean	0	0.08	0.07	84656	MATCH
sa_csmith_102.c	oracle	0	0.04	0.03	48304	MATCH
sa_csmith_102.c	lean	0	0.06	0.06	83164	MATCH
sa_csmith_103.c	oracle	0	0.04	0.03	48476	MATCH
sa_csmith_103.c	lean	0	0.07	0.06	83756	MATCH
sa_csmith_104.c	oracle	0	0.04	0.04	48764	MATCH
sa_csmith_104.c	lean	0	0.07	0.06	83072	MATCH
sa_csmith_105.c	oracle	124	15.05	15.04	626412	CERB_SKIP
sa_csmith_105.c	lean	NA	NA	NA	NA	CERB_SKIP
sa_csmith_106.c	oracle	124	15.05	15.04	642224	CERB_SKIP
sa_csmith_106.c	lean	NA	NA	NA	NA	CERB_SKIP
sa_csmith_107.c	oracle	124	15.04	15.04	600768	CERB_SKIP
sa_csmith_107.c	lean	NA	NA	NA	NA	CERB_SKIP
sa_csmith_108.c	oracle	0	0.71	0.71	90176	MATCH
sa_csmith_108.c	lean	0	1.89	1.89	125312	MATCH
sa_csmith_109.c	oracle	124	15.07	15.06	640472	CERB_SKIP
sa_csmith_109.c	lean	NA	NA	NA	NA	CERB_SKIP
sa_csmith_11.c	oracle	124	15.05	15.03	670520	CERB_SKIP
sa_csmith_11.c	lean	NA	NA	NA	NA	CERB_SKIP
sa_csmith_110.c	oracle	124	15.05	15.05	651552	CERB_SKIP
sa_csmith_110.c	lean	NA	NA	NA	NA	CERB_SKIP
sa_csmith_111.c	oracle	124	15.05	15.04	635532	CERB_SKIP
sa_csmith_111.c	lean	NA	NA	NA	NA	CERB_SKIP
sa_csmith_112.c	oracle	124	15.05	15.04	633824	CERB_SKIP
sa_csmith_112.c	lean	NA	NA	NA	NA	CERB_SKIP
sa_csmith_113.c	oracle	124	15.03	15.02	455812	CERB_SKIP
sa_csmith_113.c	lean	NA	NA	NA	NA	CERB_SKIP
sa_csmith_114.c	oracle	124	15.04	15.03	519472	CERB_SKIP
sa_csmith_114.c	lean	NA	NA	NA	NA	CERB_SKIP
sa_csmith_115.c	oracle	124	15.04	14.93	574780	CERB_SKIP
sa_csmith_115.c	lean	NA	NA	NA	NA	CERB_SKIP
sa_csmith_116.c	oracle	124	15.04	15.03	554904	CERB_SKIP
sa_csmith_116.c	lean	NA	NA	NA	NA	CERB_SKIP
sa_csmith_117.c	oracle	0	0.06	0.05	49316	MATCH
sa_csmith_117.c	lean	0	0.13	0.12	83080	MATCH
sa_csmith_118.c	oracle	0	0.10	0.10	64456	MATCH
sa_csmith_118.c	lean	0	0.25	0.24	107940	MATCH
sa_csmith_119.c	oracle	0	0.10	0.09	63844	MATCH
sa_csmith_119.c	lean	0	0.22	0.22	105860	MATCH
sa_csmith_12.c	oracle	124	15.05	15.03	607500	CERB_SKIP
sa_csmith_12.c	lean	NA	NA	NA	NA	CERB_SKIP
sa_csmith_120.c	oracle	0	0.13	0.12	72600	MATCH
sa_csmith_120.c	lean	0	0.28	0.28	118636	MATCH
sa_csmith_121.c	oracle	0	0.10	0.10	69328	MATCH
sa_csmith_121.c	lean	0	0.25	0.24	114392	MATCH
sa_csmith_122.c	oracle	0	0.09	0.08	60508	MATCH
sa_csmith_122.c	lean	0	0.19	0.18	102544	MATCH
sa_csmith_123.c	oracle	0	0.09	0.08	60452	MATCH
sa_csmith_123.c	lean	0	0.20	0.19	102540	MATCH
sa_csmith_124.c	oracle	124	15.04	15.01	541236	CERB_SKIP
sa_csmith_124.c	lean	NA	NA	NA	NA	CERB_SKIP
sa_csmith_125.c	oracle	124	15.06	15.04	647040	CERB_SKIP
sa_csmith_125.c	lean	NA	NA	NA	NA	CERB_SKIP
sa_csmith_126.c	oracle	0	0.06	0.06	49964	MATCH
sa_csmith_126.c	lean	0	0.11	0.10	85836	MATCH
sa_csmith_127.c	oracle	124	15.04	15.03	534080	CERB_SKIP
sa_csmith_127.c	lean	NA	NA	NA	NA	CERB_SKIP
sa_csmith_128.c	oracle	124	15.05	15.05	622936	CERB_SKIP
sa_csmith_128.c	lean	NA	NA	NA	NA	CERB_SKIP
sa_csmith_129.c	oracle	124	15.04	15.04	603848	CERB_SKIP
sa_csmith_129.c	lean	NA	NA	NA	NA	CERB_SKIP
sa_csmith_13.c	oracle	0	0.09	0.08	61500	MATCH
sa_csmith_13.c	lean	0	0.22	0.21	103772	MATCH
sa_csmith_130.c	oracle	0	0.04	0.03	48148	MATCH
sa_csmith_130.c	lean	0	0.06	0.06	83492	MATCH
sa_csmith_131.c	oracle	124	15.05	15.04	608936	CERB_SKIP
sa_csmith_131.c	lean	NA	NA	NA	NA	CERB_SKIP
sa_csmith_132.c	oracle	0	0.04	0.04	48640	MATCH
sa_csmith_132.c	lean	0	0.07	0.06	82840	MATCH
sa_csmith_133.c	oracle	0	1.25	1.24	90200	MATCH
sa_csmith_133.c	lean	0	3.28	3.27	107320	MATCH
sa_csmith_134.c	oracle	0	0.04	0.04	48336	MATCH
sa_csmith_134.c	lean	0	0.07	0.06	83416	MATCH
sa_csmith_135.c	oracle	0	0.08	0.07	49412	MATCH
sa_csmith_135.c	lean	0	0.16	0.15	84048	MATCH
sa_csmith_136.c	oracle	124	15.05	15.03	590692	CERB_SKIP
sa_csmith_136.c	lean	NA	NA	NA	NA	CERB_SKIP
sa_csmith_137.c	oracle	0	0.07	0.06	59604	MATCH
sa_csmith_137.c	lean	0	0.18	0.17	103224	MATCH
sa_csmith_138.c	oracle	0	0.09	0.09	63456	MATCH
sa_csmith_138.c	lean	0	0.21	0.20	105464	MATCH
sa_csmith_139.c	oracle	0	0.04	0.04	48528	MATCH
sa_csmith_139.c	lean	0	0.07	0.06	83864	MATCH
sa_csmith_14.c	oracle	0	0.04	0.04	48900	MATCH
sa_csmith_14.c	lean	0	0.07	0.06	83228	MATCH
sa_csmith_140.c	oracle	124	15.06	15.02	454224	CERB_SKIP
sa_csmith_140.c	lean	NA	NA	NA	NA	CERB_SKIP
sa_csmith_141.c	oracle	0	0.13	0.12	63900	MATCH
sa_csmith_141.c	lean	0	0.30	0.30	105844	MATCH
sa_csmith_142.c	oracle	124	15.03	15.02	423016	CERB_SKIP
sa_csmith_142.c	lean	NA	NA	NA	NA	CERB_SKIP
sa_csmith_143.c	oracle	124	15.05	15.03	510524	CERB_SKIP
sa_csmith_143.c	lean	NA	NA	NA	NA	CERB_SKIP
sa_csmith_144.c	oracle	0	0.05	0.05	48728	MATCH
sa_csmith_144.c	lean	0	0.11	0.10	83212	MATCH
sa_csmith_145.c	oracle	0	0.06	0.06	48008	MATCH
sa_csmith_145.c	lean	0	0.10	0.09	83268	MATCH
sa_csmith_146.c	oracle	124	15.05	15.04	506600	CERB_SKIP
sa_csmith_146.c	lean	NA	NA	NA	NA	CERB_SKIP
sa_csmith_147.c	oracle	0	0.11	0.10	61284	MATCH
sa_csmith_147.c	lean	0	0.22	0.21	101316	MATCH
sa_csmith_148.c	oracle	124	15.04	15.03	414716	CERB_SKIP
sa_csmith_148.c	lean	NA	NA	NA	NA	CERB_SKIP
sa_csmith_149.c	oracle	0	0.28	0.27	72136	MATCH
sa_csmith_149.c	lean	0	0.73	0.72	109532	MATCH
sa_csmith_15.c	oracle	124	15.06	15.04	506872	CERB_SKIP
sa_csmith_15.c	lean	NA	NA	NA	NA	CERB_SKIP
sa_csmith_150.c	oracle	0	0.06	0.06	47736	MATCH
sa_csmith_150.c	lean	0	0.09	0.08	83568	MATCH
sa_csmith_151.c	oracle	124	15.02	15.01	250780	CERB_SKIP
sa_csmith_151.c	lean	NA	NA	NA	NA	CERB_SKIP
sa_csmith_152.c	oracle	124	15.03	15.02	356288	CERB_SKIP
sa_csmith_152.c	lean	NA	NA	NA	NA	CERB_SKIP
sa_csmith_153.c	oracle	0	0.06	0.06	48064	MATCH
sa_csmith_153.c	lean	0	0.07	0.07	80696	MATCH
sa_csmith_154.c	oracle	0	0.05	0.05	47868	MATCH
sa_csmith_154.c	lean	0	0.08	0.07	84428	MATCH
sa_csmith_155.c	oracle	124	15.05	15.04	485832	CERB_SKIP
sa_csmith_155.c	lean	NA	NA	NA	NA	CERB_SKIP
sa_csmith_156.c	oracle	124	15.04	15.02	461992	CERB_SKIP
sa_csmith_156.c	lean	NA	NA	NA	NA	CERB_SKIP
sa_csmith_157.c	oracle	124	15.04	14.84	424024	CERB_SKIP
sa_csmith_157.c	lean	NA	NA	NA	NA	CERB_SKIP
sa_csmith_158.c	oracle	124	15.03	15.00	372312	CERB_SKIP
sa_csmith_158.c	lean	NA	NA	NA	NA	CERB_SKIP
sa_csmith_159.c	oracle	0	0.06	0.05	48220	MATCH
sa_csmith_159.c	lean	0	0.08	0.08	82892	MATCH
sa_csmith_16.c	oracle	124	15.05	15.04	472956	CERB_SKIP
sa_csmith_16.c	lean	NA	NA	NA	NA	CERB_SKIP
sa_csmith_160.c	oracle	0	0.07	0.06	47576	MATCH
sa_csmith_160.c	lean	0	0.09	0.09	83524	MATCH
