input	engine	exit	wall_s	cpu_s	maxrss_kb	status
sa_csmith_001.c	oracle	0	0.07	0.07	49084	MATCH
sa_csmith_001.c	lean	0	0.13	0.12	84024	MATCH
sa_csmith_002.c	oracle	125	0.05	0.05	48364	CERB_SKIP
sa_csmith_002.c	lean	NA	NA	NA	NA	CERB_SKIP
sa_csmith_003.c	oracle	125	0.05	0.05	46048	CERB_SKIP
sa_csmith_003.c	lean	NA	NA	NA	NA	CERB_SKIP
sa_csmith_004.c	oracle	0	0.07	0.06	50616	MATCH
sa_csmith_004.c	lean	0	0.15	0.14	87068	MATCH
sa_csmith_005.c	oracle	125	0.04	0.04	46472	CERB_SKIP
sa_csmith_005.c	lean	NA	NA	NA	NA	CERB_SKIP
sa_csmith_006.c	oracle	0	0.10	0.10	49948	MATCH
sa_csmith_006.c	lean	0	0.24	0.23	83412	MATCH
sa_csmith_10.c	oracle	124	15.04	15.03	553968	CERB_SKIP
sa_csmith_10.c	lean	NA	NA	NA	NA	CERB_SKIP
sa_csmith_100.c	oracle	0	0.05	0.05	48804	MATCH
sa_csmith_100.c	lean	0	0.07	0.06	84812	MATCH
sa_csmith_101.c	oracle	0	0.05	0.04	49704	MATCH
sa_csmith_101.c	lean	0	0.09	0.08	84652	MATCH
sa_csmith_102.c	oracle	0	0.05	0.04	48748	MATCH
sa_csmith_102.c	lean	0	0.08	0.07	83476	MATCH
sa_csmith_103.c	oracle	0	0.04	0.04	49268	MATCH
sa_csmith_103.c	lean	0	0.07	0.06	84384	MATCH
sa_csmith_104.c	oracle	0	0.05	0.04	48544	MATCH
sa_csmith_104.c	lean	0	0.08	0.07	85220	MATCH
sa_csmith_105.c	oracle	124	15.06	15.05	568632	CERB_SKIP
sa_csmith_105.c	lean	NA	NA	NA	NA	CERB_SKIP
sa_csmith_106.c	oracle	124	15.05	15.03	526296	CERB_SKIP
sa_csmith_106.c	lean	NA	NA	NA	NA	CERB_SKIP
sa_csmith_107.c	oracle	124	15.05	15.03	515980	CERB_SKIP
sa_csmith_107.c	lean	NA	NA	NA	NA	CERB_SKIP
