input	engine	exit	wall_s	cpu_s	maxrss_kb	status
sa_csmith_348.c	oracle	124	15.02	15.01	367632	CERB_SKIP
sa_csmith_348.c	lean	NA	NA	NA	NA	CERB_SKIP
sa_csmith_349.c	oracle	0	0.04	0.04	48324	MATCH
sa_csmith_349.c	lean	0	0.07	0.06	82920	MATCH
sa_csmith_35.c	oracle	0	0.04	0.04	49392	MATCH
sa_csmith_35.c	lean	0	0.06	0.05	82384	MATCH
sa_csmith_350.c	oracle	0	0.10	0.09	66940	MATCH
sa_csmith_350.c	lean	0	0.23	0.22	109136	MATCH
sa_csmith_351.c	oracle	124	15.03	15.02	624616	CERB_SKIP
sa_csmith_351.c	lean	NA	NA	NA	NA	CERB_SKIP
sa_csmith_352.c	oracle	0	0.08	0.07	62868	MATCH
sa_csmith_352.c	lean	0	0.16	0.15	104444	MATCH
sa_csmith_353.c	oracle	124	15.03	15.03	588236	CERB_SKIP
sa_csmith_353.c	lean	NA	NA	NA	NA	CERB_SKIP
sa_csmith_354.c	oracle	0	0.04	0.04	49184	MATCH
sa_csmith_354.c	lean	0	0.07	0.07	81948	MATCH
sa_csmith_355.c	oracle	124	15.03	15.02	517160	CERB_SKIP
sa_csmith_355.c	lean	NA	NA	NA	NA	CERB_SKIP
sa_csmith_356.c	oracle	0	0.05	0.04	48164	MATCH
sa_csmith_356.c	lean	0	0.07	0.06	80748	MATCH
sa_csmith_357.c	oracle	0	0.04	0.04	49336	MATCH
sa_csmith_357.c	lean	0	0.07	0.06	83020	MATCH
sa_csmith_358.c	oracle	0	0.09	0.09	67128	MATCH
sa_csmith_358.c	lean	0	0.20	0.19	109412	MATCH
sa_csmith_359.c	oracle	124	15.03	15.02	574624	CERB_SKIP
sa_csmith_359.c	lean	NA	NA	NA	NA	CERB_SKIP
sa_csmith_36.c	oracle	124	15.04	15.02	575592	CERB_SKIP
sa_csmith_36.c	lean	NA	NA	NA	NA	CERB_SKIP
sa_csmith_360.c	oracle	0	0.08	0.07	50680	MATCH
sa_csmith_360.c	lean	0	0.17	0.16	82084	MATCH
sa_csmith_361.c	oracle	124	15.03	15.03	579640	CERB_SKIP
sa_csmith_361.c	lean	NA	NA	NA	NA	CERB_SKIP
sa_csmith_362.c	oracle	124	15.04	15.03	679532	CERB_SKIP
sa_csmith_362.c	lean	NA	NA	NA	NA	CERB_SKIP
sa_csmith_363.c	oracle	124	15.04	15.03	692584	CERB_SKIP
sa_csmith_363.c	lean	NA	NA	NA	NA	CERB_SKIP
sa_csmith_364.c	oracle	124	15.03	15.02	622944	CERB_SKIP
sa_csmith_364.c	lean	NA	NA	NA	NA	CERB_SKIP
sa_csmith_365.c	oracle	124	15.04	15.03	668196	CERB_SKIP
sa_csmith_365.c	lean	NA	NA	NA	NA	CERB_SKIP
sa_csmith_366.c	oracle	124	15.04	15.04	688788	CERB_SKIP
sa_csmith_366.c	lean	NA	NA	NA	NA	CERB_SKIP
sa_csmith_367.c	oracle	0	0.04	0.03	48564	MATCH
sa_csmith_367.c	lean	0	0.06	0.05	82520	MATCH
sa_csmith_368.c	oracle	124	15.04	15.01	542728	CERB_SKIP
sa_csmith_368.c	lean	NA	NA	NA	NA	CERB_SKIP
sa_csmith_369.c	oracle	0	4.74	4.74	230912	MATCH
sa_csmith_369.c	lean	0	12.14	12.13	238512	MATCH
sa_csmith_37.c	oracle	124	15.05	15.04	645792	CERB_SKIP
sa_csmith_37.c	lean	NA	NA	NA	NA	CERB_SKIP
sa_csmith_370.c	oracle	124	15.05	15.04	612380	CERB_SKIP
sa_csmith_370.c	lean	NA	NA	NA	NA	CERB_SKIP
sa_csmith_371.c	oracle	0	3.91	3.90	204052	MATCH
sa_csmith_371.c	lean	0	10.15	10.15	208216	MATCH
sa_csmith_372.c	oracle	124	15.05	15.03	600876	CERB_SKIP
sa_csmith_372.c	lean	NA	NA	NA	NA	CERB_SKIP
sa_csmith_373.c	oracle	0	0.12	0.11	70528	MATCH
sa_csmith_373.c	lean	0	0.34	0.34	110276	MATCH
