input	engine	exit	wall_s	cpu_s	maxrss_kb	status
sa_csmith_001.c	oracle	0	0.05	0.05	49408	MATCH
sa_csmith_001.c	lean	0	0.11	0.10	87708	MATCH
sa_csmith_002.c	oracle	125	0.04	0.04	48304	CERB_SKIP
sa_csmith_002.c	lean	NA	NA	NA	NA	CERB_SKIP
sa_csmith_003.c	oracle	125	0.04	0.03	45516	CERB_SKIP
sa_csmith_003.c	lean	NA	NA	NA	NA	CERB_SKIP
sa_csmith_004.c	oracle	0	0.06	0.06	49540	MATCH
sa_csmith_004.c	lean	0	0.11	0.11	89528	MATCH
sa_csmith_005.c	oracle	125	0.03	0.03	47088	CERB_SKIP
sa_csmith_005.c	lean	NA	NA	NA	NA	CERB_SKIP
sa_csmith_006.c	oracle	0	0.08	0.08	51296	MATCH
sa_csmith_006.c	lean	0	0.18	0.18	88004	MATCH
sa_csmith_10.c	oracle	124	15.04	15.04	633528	CERB_SKIP
sa_csmith_10.c	lean	NA	NA	NA	NA	CERB_SKIP
sa_csmith_100.c	oracle	0	0.04	0.04	49460	MATCH
sa_csmith_100.c	lean	0	0.07	0.07	88268	MATCH
sa_csmith_101.c	oracle	0	0.04	0.04	49460	MATCH
sa_csmith_101.c	lean	0	0.08	0.07	88444	MATCH
sa_csmith_102.c	oracle	0	0.04	0.03	49104	MATCH
sa_csmith_102.c	lean	0	0.07	0.07	87820	MATCH
sa_csmith_103.c	oracle	0	0.04	0.04	49204	MATCH
sa_csmith_103.c	lean	0	0.07	0.06	88032	MATCH
sa_csmith_104.c	oracle	0	0.04	0.03	48792	MATCH
sa_csmith_104.c	lean	0	0.07	0.07	88040	MATCH
sa_csmith_105.c	oracle	124	15.04	15.03	630040	CERB_SKIP
sa_csmith_105.c	lean	NA	NA	NA	NA	CERB_SKIP
sa_csmith_106.c	oracle	124	15.04	15.03	648364	CERB_SKIP
sa_csmith_106.c	lean	NA	NA	NA	NA	CERB_SKIP
sa_csmith_107.c	oracle	124	15.04	15.04	624804	CERB_SKIP
sa_csmith_107.c	lean	NA	NA	NA	NA	CERB_SKIP
sa_csmith_108.c	oracle	0	0.69	0.68	90600	MATCH
sa_csmith_108.c	lean	0	1.71	1.70	137668	MATCH
sa_csmith_109.c	oracle	124	15.05	15.04	656236	CERB_SKIP
sa_csmith_109.c	lean	NA	NA	NA	NA	CERB_SKIP
sa_csmith_11.c	oracle	124	15.05	15.04	669184	CERB_SKIP
sa_csmith_11.c	lean	NA	NA	NA	NA	CERB_SKIP
sa_csmith_110.c	oracle	124	15.05	15.04	630756	CERB_SKIP
