input	engine	exit	wall_s	cpu_s	maxrss_kb	status
sa_csmith_001.c	oracle	0	0.05	0.05	50216	MATCH
sa_csmith_001.c	lean	0	0.10	0.09	83972	MATCH
sa_csmith_002.c	oracle	125	0.04	0.04	49180	CERB_SKIP
sa_csmith_002.c	lean	NA	NA	NA	NA	CERB_SKIP
sa_csmith_003.c	oracle	125	0.04	0.03	46872	CERB_SKIP
sa_csmith_003.c	lean	NA	NA	NA	NA	CERB_SKIP
sa_csmith_004.c	oracle	0	0.06	0.05	51016	MATCH
sa_csmith_004.c	lean	0	0.10	0.10	86244	MATCH
sa_csmith_005.c	oracle	125	0.03	0.03	47572	CERB_SKIP
sa_csmith_005.c	lean	NA	NA	NA	NA	CERB_SKIP
sa_csmith_006.c	oracle	0	0.08	0.07	52604	MATCH
sa_csmith_006.c	lean	0	0.18	0.17	84216	MATCH
sa_csmith_10.c	oracle	124	15.05	15.03	688876	CERB_SKIP
sa_csmith_10.c	lean	NA	NA	NA	NA	CERB_SKIP
sa_csmith_100.c	oracle	0	0.04	0.03	49472	MATCH
sa_csmith_100.c	lean	0	0.07	0.06	83792	MATCH
sa_csmith_101.c	oracle	0	0.04	0.04	49140	MATCH
sa_csmith_101.c	lean	0	0.07	0.06	83296	MATCH
sa_csmith_102.c	oracle	0	0.04	0.03	49600	MATCH
sa_csmith_102.c	lean	0	0.06	0.05	84412	MATCH
sa_csmith_103.c	oracle	0	0.04	0.04	49140	MATCH
sa_csmith_103.c	lean	0	0.06	0.05	84048	MATCH
sa_csmith_104.c	oracle	0	0.04	0.04	49060	MATCH
sa_csmith_104.c	lean	0	0.07	0.06	84404	MATCH
sa_csmith_105.c	oracle	124	15.05	15.04	661356	CERB_SKIP
sa_csmith_105.c	lean	NA	NA	NA	NA	CERB_SKIP
sa_csmith_106.c	oracle	124	15.04	15.04	663352	CERB_SKIP
sa_csmith_106.c	lean	NA	NA	NA	NA	CERB_SKIP
sa_csmith_107.c	oracle	124	15.05	15.05	649764	CERB_SKIP
sa_csmith_107.c	lean	NA	NA	NA	NA	CERB_SKIP
sa_csmith_108.c	oracle	0	0.68	0.68	90724	MATCH
sa_csmith_108.c	lean	0	1.73	1.72	125084	MATCH
sa_csmith_109.c	oracle	124	15.05	15.04	692464	CERB_SKIP
sa_csmith_109.c	lean	NA	NA	NA	NA	CERB_SKIP
sa_csmith_11.c	oracle	124	15.05	15.04	685376	CERB_SKIP
sa_csmith_11.c	lean	NA	NA	NA	NA	CERB_SKIP
sa_csmith_110.c	oracle	124	15.05	15.04	665928	CERB_SKIP
sa_csmith_110.c	lean	NA	NA	NA	NA	CERB_SKIP
sa_csmith_111.c	oracle	124	15.05	15.04	660064	CERB_SKIP
sa_csmith_111.c	lean	NA	NA	NA	NA	CERB_SKIP
sa_csmith_112.c	oracle	124	15.05	15.04	655624	CERB_SKIP
sa_csmith_112.c	lean	NA	NA	NA	NA	CERB_SKIP
sa_csmith_113.c	oracle	124	15.03	15.03	464292	CERB_SKIP
sa_csmith_113.c	lean	NA	NA	NA	NA	CERB_SKIP
sa_csmith_114.c	oracle	124	15.04	15.03	543124	CERB_SKIP
sa_csmith_114.c	lean	NA	NA	NA	NA	CERB_SKIP
sa_csmith_115.c	oracle	124	15.04	15.03	618104	CERB_SKIP
sa_csmith_115.c	lean	NA	NA	NA	NA	CERB_SKIP
sa_csmith_116.c	oracle	124	15.04	15.03	605284	CERB_SKIP
sa_csmith_116.c	lean	NA	NA	NA	NA	CERB_SKIP
sa_csmith_117.c	oracle	0	0.05	0.05	50828	MATCH
sa_csmith_117.c	lean	0	0.09	0.08	83308	MATCH
sa_csmith_118.c	oracle	0	0.09	0.09	66076	MATCH
sa_csmith_118.c	lean	0	0.19	0.18	107776	MATCH
sa_csmith_119.c	oracle	0	0.09	0.09	65384	MATCH
sa_csmith_119.c	lean	0	0.18	0.17	106844	MATCH
sa_csmith_12.c	oracle	124	15.05	15.04	652356	CERB_SKIP
sa_csmith_12.c	lean	NA	NA	NA	NA	CERB_SKIP
sa_csmith_120.c	oracle	0	0.12	0.11	73748	MATCH
sa_csmith_120.c	lean	0	0.30	0.29	118732	MATCH
sa_csmith_121.c	oracle	0	0.10	0.09	70540	MATCH
sa_csmith_121.c	lean	0	0.22	0.22	114760	MATCH
sa_csmith_122.c	oracle	0	0.08	0.07	61496	MATCH
sa_csmith_122.c	lean	0	0.17	0.16	102216	MATCH
sa_csmith_123.c	oracle	0	0.08	0.07	60936	MATCH
sa_csmith_123.c	lean	0	0.17	0.16	102712	MATCH
sa_csmith_124.c	oracle	124	15.04	15.04	628936	CERB_SKIP
sa_csmith_124.c	lean	NA	NA	NA	NA	CERB_SKIP
sa_csmith_125.c	oracle	124	15.05	15.04	705128	CERB_SKIP
sa_csmith_125.c	lean	NA	NA	NA	NA	CERB_SKIP
sa_csmith_126.c	oracle	0	0.05	0.05	51140	MATCH
sa_csmith_126.c	lean	0	0.10	0.09	85828	MATCH
sa_csmith_127.c	oracle	124	15.04	15.03	588744	CERB_SKIP
sa_csmith_127.c	lean	NA	NA	NA	NA	CERB_SKIP
sa_csmith_128.c	oracle	124	15.05	15.04	654200	CERB_SKIP
sa_csmith_128.c	lean	NA	NA	NA	NA	CERB_SKIP
sa_csmith_129.c	oracle	124	15.05	15.04	672156	CERB_SKIP
sa_csmith_129.c	lean	NA	NA	NA	NA	CERB_SKIP
sa_csmith_13.c	oracle	0	0.08	0.07	62976	MATCH
sa_csmith_13.c	lean	0	0.17	0.16	104024	MATCH
sa_csmith_130.c	oracle	0	0.04	0.03	49772	MATCH
sa_csmith_130.c	lean	0	0.07	0.06	83896	MATCH
sa_csmith_131.c	oracle	124	15.05	15.03	638340	CERB_SKIP
sa_csmith_131.c	lean	NA	NA	NA	NA	CERB_SKIP
sa_csmith_132.c	oracle	0	0.04	0.03	49120	MATCH
sa_csmith_132.c	lean	0	0.07	0.06	84128	MATCH
sa_csmith_133.c	oracle	0	1.17	1.17	91268	MATCH
sa_csmith_133.c	lean	0	3.10	3.10	108616	MATCH
sa_csmith_134.c	oracle	0	0.04	0.04	48468	MATCH
sa_csmith_134.c	lean	0	0.06	0.05	83896	MATCH
sa_csmith_135.c	oracle	0	0.08	0.07	51584	MATCH
sa_csmith_135.c	lean	0	0.14	0.13	83204	MATCH
sa_csmith_136.c	oracle	124	15.04	15.03	639800	CERB_SKIP
sa_csmith_136.c	lean	NA	NA	NA	NA	CERB_SKIP
sa_csmith_137.c	oracle	0	0.07	0.06	60180	MATCH
sa_csmith_137.c	lean	0	0.13	0.13	102684	MATCH
sa_csmith_138.c	oracle	0	0.08	0.08	65800	MATCH
sa_csmith_138.c	lean	0	0.19	0.19	106260	MATCH
sa_csmith_139.c	oracle	0	0.04	0.03	49516	MATCH
sa_csmith_139.c	lean	0	0.06	0.06	84028	MATCH
sa_csmith_14.c	oracle	0	0.04	0.03	50448	MATCH
sa_csmith_14.c	lean	0	0.06	0.06	84136	MATCH
sa_csmith_140.c	oracle	124	15.04	15.04	597972	CERB_SKIP
sa_csmith_140.c	lean	NA	NA	NA	NA	CERB_SKIP
sa_csmith_141.c	oracle	0	0.08	0.08	65836	MATCH
sa_csmith_141.c	lean	0	0.17	0.17	105708	MATCH
sa_csmith_142.c	oracle	124	15.04	15.03	560996	CERB_SKIP
sa_csmith_142.c	lean	NA	NA	NA	NA	CERB_SKIP
sa_csmith_143.c	oracle	124	15.05	15.04	649500	CERB_SKIP
sa_csmith_143.c	lean	NA	NA	NA	NA	CERB_SKIP
sa_csmith_144.c	oracle	0	0.04	0.04	50072	MATCH
sa_csmith_144.c	lean	0	0.07	0.07	83888	MATCH
sa_csmith_145.c	oracle	0	0.04	0.03	49760	MATCH
sa_csmith_145.c	lean	0	0.07	0.06	83576	MATCH
sa_csmith_146.c	oracle	124	15.04	15.04	660356	CERB_SKIP
sa_csmith_146.c	lean	NA	NA	NA	NA	CERB_SKIP
sa_csmith_147.c	oracle	0	0.08	0.07	63332	MATCH
sa_csmith_147.c	lean	0	0.16	0.15	104900	MATCH
sa_csmith_148.c	oracle	124	15.04	15.03	530008	CERB_SKIP
sa_csmith_148.c	lean	NA	NA	NA	NA	CERB_SKIP
sa_csmith_149.c	oracle	0	0.22	0.21	72824	MATCH
sa_csmith_149.c	lean	0	0.52	0.52	110620	MATCH
sa_csmith_15.c	oracle	124	15.05	15.04	676720	CERB_SKIP
sa_csmith_15.c	lean	NA	NA	NA	NA	CERB_SKIP
sa_csmith_150.c	oracle	0	0.04	0.04	49780	MATCH
sa_csmith_150.c	lean	0	0.07	0.06	83140	MATCH
