input	engine	exit	wall_s	cpu_s	maxrss_kb	status
sa_csmith_001.c	oracle	0	0.05	0.05	50404	MATCH
sa_csmith_001.c	lean	0	0.10	0.09	83836	MATCH
sa_csmith_002.c	oracle	125	0.04	0.04	49620	CERB_SKIP
sa_csmith_002.c	lean	NA	NA	NA	NA	CERB_SKIP
sa_csmith_003.c	oracle	125	0.04	0.03	46440	CERB_SKIP
sa_csmith_003.c	lean	NA	NA	NA	NA	CERB_SKIP
sa_csmith_004.c	oracle	0	0.05	0.05	51268	MATCH
sa_csmith_004.c	lean	0	0.10	0.09	85716	MATCH
sa_csmith_005.c	oracle	125	0.03	0.03	47084	CERB_SKIP
sa_csmith_005.c	lean	NA	NA	NA	NA	CERB_SKIP
sa_csmith_006.c	oracle	0	0.08	0.07	51692	MATCH
sa_csmith_006.c	lean	0	0.18	0.17	84192	MATCH
sa_csmith_10.c	oracle	124	15.04	15.04	668972	CERB_SKIP
sa_csmith_10.c	lean	NA	NA	NA	NA	CERB_SKIP
sa_csmith_100.c	oracle	0	0.04	0.04	49680	MATCH
sa_csmith_100.c	lean	0	0.06	0.05	83908	MATCH
sa_csmith_101.c	oracle	0	0.04	0.04	48464	MATCH
sa_csmith_101.c	lean	0	0.07	0.06	84100	MATCH
sa_csmith_102.c	oracle	0	0.04	0.03	49760	MATCH
sa_csmith_102.c	lean	0	0.06	0.06	83652	MATCH
sa_csmith_103.c	oracle	0	0.04	0.03	49340	MATCH
sa_csmith_103.c	lean	0	0.06	0.05	81380	MATCH
sa_csmith_104.c	oracle	0	0.04	0.03	48876	MATCH
sa_csmith_104.c	lean	0	0.06	0.05	83704	MATCH
sa_csmith_105.c	oracle	124	15.04	15.03	646664	CERB_SKIP
sa_csmith_105.c	lean	NA	NA	NA	NA	CERB_SKIP
sa_csmith_106.c	oracle	124	15.04	15.04	665612	CERB_SKIP
sa_csmith_106.c	lean	NA	NA	NA	NA	CERB_SKIP
sa_csmith_107.c	oracle	124	15.04	15.04	633424	CERB_SKIP
sa_csmith_107.c	lean	NA	NA	NA	NA	CERB_SKIP
sa_csmith_108.c	oracle	0	0.67	0.66	90824	MATCH
sa_csmith_108.c	lean	0	1.73	1.73	125464	MATCH
sa_csmith_109.c	oracle	124	15.04	15.04	678792	CERB_SKIP
sa_csmith_109.c	lean	NA	NA	NA	NA	CERB_SKIP
sa_csmith_11.c	oracle	124	15.04	15.04	693184	CERB_SKIP
sa_csmith_11.c	lean	NA	NA	NA	NA	CERB_SKIP
sa_csmith_110.c	oracle	124	15.04	15.03	666900	CERB_SKIP
sa_csmith_110.c	lean	NA	NA	NA	NA	CERB_SKIP
sa_csmith_111.c	oracle	124	15.04	15.04	664356	CERB_SKIP
sa_csmith_111.c	lean	NA	NA	NA	NA	CERB_SKIP
sa_csmith_112.c	oracle	124	15.04	15.03	651904	CERB_SKIP
sa_csmith_112.c	lean	NA	NA	NA	NA	CERB_SKIP
sa_csmith_113.c	oracle	124	15.03	15.03	469028	CERB_SKIP
sa_csmith_113.c	lean	NA	NA	NA	NA	CERB_SKIP
sa_csmith_114.c	oracle	124	15.03	15.03	542596	CERB_SKIP
sa_csmith_114.c	lean	NA	NA	NA	NA	CERB_SKIP
sa_csmith_115.c	oracle	124	15.04	15.03	626084	CERB_SKIP
sa_csmith_115.c	lean	NA	NA	NA	NA	CERB_SKIP
sa_csmith_116.c	oracle	124	15.04	15.03	613468	CERB_SKIP
sa_csmith_116.c	lean	NA	NA	NA	NA	CERB_SKIP
sa_csmith_117.c	oracle	0	0.05	0.04	50924	MATCH
sa_csmith_117.c	lean	0	0.09	0.08	80896	MATCH
sa_csmith_118.c	oracle	0	0.09	0.09	65320	MATCH
