input	cpu_before	cpu_after	ratio	over_1_10	oracle_cpu_before	oracle_cpu_after
sa_csmith_001.c	0.09	0.09	1.000000	NO	0.05	0.05
sa_csmith_004.c	0.09	0.10	1.111111	YES	0.05	0.05
sa_csmith_006.c	0.17	0.17	1.000000	NO	0.07	0.07
sa_csmith_100.c	0.05	0.06	1.200000	YES	0.04	0.03
sa_csmith_101.c	0.06	0.06	1.000000	NO	0.04	0.04
sa_csmith_102.c	0.06	0.05	0.833333	NO	0.03	0.03
sa_csmith_103.c	0.05	0.05	1.000000	NO	0.03	0.04
sa_csmith_104.c	0.05	0.06	1.200000	YES	0.03	0.04
sa_csmith_108.c	1.73	1.72	0.994220	NO	0.66	0.68
sa_csmith_117.c	0.08	0.08	1.000000	NO	0.04	0.05
sa_csmith_118.c	0.18	0.18	1.000000	NO	0.09	0.09
sa_csmith_119.c	0.17	0.17	1.000000	NO	0.08	0.09
sa_csmith_120.c	0.28	0.29	1.035714	NO	0.12	0.11
sa_csmith_121.c	0.22	0.22	1.000000	NO	0.08	0.09
sa_csmith_122.c	0.15	0.16	1.066667	NO	0.07	0.07
sa_csmith_123.c	0.15	0.16	1.066667	NO	0.08	0.07
sa_csmith_126.c	0.09	0.09	1.000000	NO	0.05	0.05
sa_csmith_13.c	0.16	0.16	1.000000	NO	0.09	0.07
sa_csmith_130.c	0.06	0.06	1.000000	NO	0.03	0.03
sa_csmith_132.c	0.05	0.06	1.200000	YES	0.03	0.03
sa_csmith_133.c	3.09	3.10	1.003236	NO	1.15	1.17
sa_csmith_134.c	0.06	0.05	0.833333	NO	0.03	0.04
sa_csmith_135.c	0.14	0.13	0.928571	NO	0.07	0.07
sa_csmith_137.c	0.14	0.13	0.928571	NO	0.07	0.06
sa_csmith_138.c	0.18	0.19	1.055556	NO	0.08	0.08
sa_csmith_139.c	0.06	0.06	1.000000	NO	0.03	0.03
sa_csmith_14.c	0.06	0.06	1.000000	NO	0.03	0.03
sa_csmith_141.c	0.16	0.17	1.062500	NO	0.08	0.08
sa_csmith_144.c	0.06	0.07	1.166667	YES	0.03	0.04
sa_csmith_145.c	0.06	0.06	1.000000	NO	0.04	0.03
sa_csmith_147.c	0.16	0.15	0.937500	NO	0.08	0.07
sa_csmith_149.c	0.52	0.52	1.000000	NO	0.21	0.21
sa_csmith_150.c	0.05	0.06	1.200000	YES	0.03	0.04
sa_csmith_153.c	0.06	0.05	0.833333	NO	0.03	0.04
sa_csmith_154.c	0.05	0.06	1.200000	YES	0.04	0.03
sa_csmith_159.c	0.05	0.05	1.000000	NO	0.03	0.03
sa_csmith_160.c	0.06	0.06	1.000000	NO	0.03	0.03
sa_csmith_162.c	3.88	3.94	1.015464	NO	1.45	1.46
sa_csmith_164.c	0.06	0.05	0.833333	NO	0.03	0.03
sa_csmith_166.c	0.05	0.05	1.000000	NO	0.04	0.03
sa_csmith_167.c	0.06	0.06	1.000000	NO	0.04	0.03
sa_csmith_168.c	0.18	0.18	1.000000	NO	0.09	0.08
sa_csmith_170.c	0.06	0.06	1.000000	NO	0.04	0.03
sa_csmith_171.c	0.05	0.05	1.000000	NO	0.03	0.03
sa_csmith_172.c	0.14	0.14	1.000000	NO	0.06	0.06
sa_csmith_173.c	0.24	0.21	0.875000	NO	0.10	0.09
sa_csmith_174.c	1.00	1.01	1.010000	NO	0.34	0.34
sa_csmith_176.c	0.17	0.18	1.058824	NO	0.08	0.09
sa_csmith_178.c	0.06	0.06	1.000000	NO	0.03	0.03
sa_csmith_180.c	1.20	1.19	0.991667	NO	0.46	0.47
sa_csmith_182.c	0.94	0.95	1.010638	NO	0.36	0.37
sa_csmith_183.c	1.19	1.21	1.016807	NO	0.45	0.46
sa_csmith_189.c	0.07	0.06	0.857143	NO	0.03	0.04
sa_csmith_19.c	0.17	0.16	0.941176	NO	0.08	0.08
sa_csmith_191.c	0.05	0.06	1.200000	YES	0.04	0.03
sa_csmith_192.c	0.06	0.06	1.000000	NO	0.04	0.04
sa_csmith_193.c	0.06	0.06	1.000000	NO	0.04	0.04
sa_csmith_195.c	0.16	0.18	1.125000	YES	0.09	0.07
sa_csmith_196.c	0.06	0.06	1.000000	NO	0.03	0.04
sa_csmith_198.c	0.05	0.06	1.200000	YES	0.04	0.03
sa_csmith_201.c	0.05	0.06	1.200000	YES	0.03	0.03
sa_csmith_207.c	0.07	0.07	1.000000	NO	0.04	0.04
sa_csmith_209.c	0.07	0.06	0.857143	NO	0.03	0.04
sa_csmith_21.c	0.06	0.06	1.000000	NO	0.04	0.03
sa_csmith_212.c	0.05	0.06	1.200000	YES	0.03	0.04
sa_csmith_213.c	0.07	0.07	1.000000	NO	0.04	0.04
sa_csmith_215.c	0.06	0.06	1.000000	NO	0.04	0.04
sa_csmith_218.c	0.35	0.36	1.028571	NO	0.15	0.15
sa_csmith_22.c	0.15	0.13	0.866667	NO	0.06	0.07
sa_csmith_221.c	0.06	0.06	1.000000	NO	0.03	0.03
sa_csmith_223.c	0.14	0.14	1.000000	NO	0.08	0.08
sa_csmith_225.c	0.05	0.06	1.200000	YES	0.03	0.03
sa_csmith_228.c	0.05	0.06	1.200000	YES	0.04	0.04
sa_csmith_23.c	0.06	0.06	1.000000	NO	0.03	0.03
sa_csmith_230.c	0.07	0.06	0.857143	NO	0.04	0.03
sa_csmith_234.c	0.16	0.17	1.062500	NO	0.08	0.08
sa_csmith_239.c	0.30	0.31	1.033333	NO	0.12	0.13
sa_csmith_240.c	0.05	0.05	1.000000	NO	0.03	0.03
sa_csmith_241.c	0.06	0.05	0.833333	NO	0.03	0.03
sa_csmith_242.c	0.19	0.18	0.947368	NO	0.08	0.07
sa_csmith_243.c	0.06	0.06	1.000000	NO	0.03	0.04
sa_csmith_245.c	0.05	0.06	1.200000	YES	0.04	0.04
sa_csmith_247.c	0.24	0.24	1.000000	NO	0.11	0.11
sa_csmith_249.c	0.17	0.19	1.117647	YES	0.09	0.09
sa_csmith_25.c	1.20	1.21	1.008333	NO	0.45	0.47
sa_csmith_250.c	0.05	0.06	1.200000	YES	0.04	0.03
sa_csmith_254.c	0.05	0.06	1.200000	YES	0.03	0.03
sa_csmith_261.c	0.06	0.06	1.000000	NO	0.04	0.04
sa_csmith_262.c	0.19	0.23	1.210526	YES	0.09	0.10
sa_csmith_263.c	0.07	0.06	0.857143	NO	0.04	0.04
sa_csmith_266.c	0.06	0.07	1.166667	YES	0.04	0.04
sa_csmith_268.c	0.11	0.13	1.181818	YES	0.07	0.06
sa_csmith_270.c	0.06	0.07	1.166667	YES	0.04	0.04
sa_csmith_271.c	0.17	0.16	0.941176	NO	0.09	0.08
sa_csmith_272.c	5.29	5.28	0.998110	NO	1.81	1.84
sa_csmith_273.c	0.05	0.05	1.000000	NO	0.03	0.03
sa_csmith_274.c	0.05	0.05	1.000000	NO	0.04	0.03
sa_csmith_277.c	0.07	0.07	1.000000	NO	0.04	0.04
sa_csmith_278.c	0.06	0.06	1.000000	NO	0.04	0.04
sa_csmith_279.c	0.07	0.06	0.857143	NO	0.04	0.04
sa_csmith_28.c	0.17	0.16	0.941176	NO	0.07	0.07
sa_csmith_283.c	0.05	0.06	1.200000	YES	0.04	0.03
sa_csmith_285.c	0.05	0.06	1.200000	YES	0.04	0.03
sa_csmith_287.c	0.15	0.16	1.066667	NO	0.08	0.08
sa_csmith_288.c	0.06	0.05	0.833333	NO	0.03	0.03
sa_csmith_29.c	7.12	7.06	0.991573	NO	2.62	2.68
sa_csmith_293.c	0.19	0.18	0.947368	NO	0.08	0.08
sa_csmith_294.c	0.19	0.20	1.052632	NO	0.09	0.09
sa_csmith_295.c	0.13	0.15	1.153846	YES	0.06	0.07
sa_csmith_299.c	4.16	4.22	1.014423	NO	1.59	1.61
sa_csmith_304.c	0.06	0.07	1.166667	YES	0.03	0.04
sa_csmith_305.c	0.05	0.05	1.000000	NO	0.04	0.04
sa_csmith_315.c	0.22	0.23	1.045455	NO	0.10	0.10
sa_csmith_317.c	0.21	0.23	1.095238	NO	0.10	0.10
sa_csmith_32.c	0.13	0.15	1.153846	YES	0.08	0.06
sa_csmith_321.c	0.06	0.05	0.833333	NO	0.04	0.03
sa_csmith_324.c	0.22	0.20	0.909091	NO	0.10	0.09
