input	initial_before	initial_after	initial_ratio	pre_1	after_1	pre_2	after_2	mean_before	mean_after	mean_ratio	over_1_10_by_means
sa_csmith_004.c	0.09	0.10	1.111111	0.10	0.09	0.10	0.09	0.1000	0.0900	0.900000	NO
sa_csmith_100.c	0.05	0.06	1.200000	0.06	0.06	0.06	0.06	0.0600	0.0600	1.000000	NO
sa_csmith_104.c	0.05	0.06	1.200000	0.06	0.06	0.06	0.06	0.0600	0.0600	1.000000	NO
sa_csmith_132.c	0.05	0.06	1.200000	0.05	0.06	0.05	0.06	0.0500	0.0600	1.200000	YES
sa_csmith_144.c	0.06	0.07	1.166667	0.06	0.06	0.06	0.06	0.0600	0.0600	1.000000	NO
sa_csmith_150.c	0.05	0.06	1.200000	0.06	0.05	0.06	0.06	0.0600	0.0550	0.916667	NO
sa_csmith_154.c	0.05	0.06	1.200000	0.05	0.06	0.05	0.05	0.0500	0.0550	1.100000	NO
sa_csmith_191.c	0.05	0.06	1.200000	0.05	0.05	0.05	0.05	0.0500	0.0500	1.000000	NO
sa_csmith_195.c	0.16	0.18	1.125000	0.19	0.16	0.16	0.18	0.1750	0.1700	0.971429	NO
sa_csmith_198.c	0.05	0.06	1.200000	0.06	0.06	0.05	0.05	0.0550	0.0550	1.000000	NO
sa_csmith_201.c	0.05	0.06	1.200000	0.05	0.05	0.06	0.06	0.0550	0.0550	1.000000	NO
sa_csmith_212.c	0.05	0.06	1.200000	0.05	0.06	0.05	0.06	0.0500	0.0600	1.200000	YES
sa_csmith_225.c	0.05	0.06	1.200000	0.05	0.05	0.05	0.06	0.0500	0.0550	1.100000	NO
sa_csmith_228.c	0.05	0.06	1.200000	0.06	0.06	0.06	0.06	0.0600	0.0600	1.000000	NO
sa_csmith_245.c	0.05	0.06	1.200000	0.06	0.06	0.06	0.06	0.0600	0.0600	1.000000	NO
sa_csmith_249.c	0.17	0.19	1.117647	0.18	0.18	0.18	0.21	0.1800	0.1950	1.083333	NO
sa_csmith_250.c	0.05	0.06	1.200000	0.06	0.06	0.06	0.05	0.0600	0.0550	0.916667	NO
sa_csmith_254.c	0.05	0.06	1.200000	0.05	0.06	0.06	0.06	0.0550	0.0600	1.090909	NO
sa_csmith_262.c	0.19	0.23	1.210526	0.19	0.21	0.20	0.21	0.1950	0.2100	1.076923	NO
sa_csmith_266.c	0.06	0.07	1.166667	0.07	0.06	0.07	0.07	0.0700	0.0650	0.928571	NO
sa_csmith_268.c	0.11	0.13	1.181818	0.13	0.13	0.12	0.12	0.1250	0.1250	1.000000	NO
sa_csmith_270.c	0.06	0.07	1.166667	0.07	0.06	0.07	0.07	0.0700	0.0650	0.928571	NO
sa_csmith_283.c	0.05	0.06	1.200000	0.05	0.05	0.05	0.06	0.0500	0.0550	1.100000	NO
sa_csmith_285.c	0.05	0.06	1.200000	0.06	0.06	0.06	0.06	0.0600	0.0600	1.000000	NO
sa_csmith_295.c	0.13	0.15	1.153846	0.15	0.15	0.16	0.13	0.1550	0.1400	0.903226	NO
sa_csmith_304.c	0.06	0.07	1.166667	0.06	0.06	0.07	0.08	0.0650	0.0700	1.076923	NO
sa_csmith_32.c	0.13	0.15	1.153846	0.15	0.14	0.15	0.14	0.1500	0.1400	0.933333	NO
sa_csmith_330.c	0.05	0.06	1.200000	0.06	0.06	0.05	0.06	0.0550	0.0600	1.090909	NO
sa_csmith_336.c	0.16	0.18	1.125000	0.16	0.15	0.15	0.16	0.1550	0.1550	1.000000	NO
sa_csmith_352.c	0.15	0.17	1.133333	0.15	0.16	0.15	0.15	0.1500	0.1550	1.033333	NO
sa_csmith_356.c	0.05	0.06	1.200000	0.05	0.05	0.05	0.06	0.0500	0.0550	1.100000	NO
sa_csmith_380.c	0.05	0.06	1.200000	0.05	0.05	0.06	0.06	0.0550	0.0550	1.000000	NO
sa_csmith_388.c	0.05	0.06	1.200000	0.06	0.05	0.06	0.05	0.0600	0.0500	0.833333	NO
sa_csmith_394.c	0.05	0.06	1.200000	0.05	0.06	0.06	0.05	0.0550	0.0550	1.000000	NO
sa_csmith_397.c	0.16	0.18	1.125000	0.16	0.16	0.17	0.17	0.1650	0.1650	1.000000	NO
sa_csmith_40.c	0.05	0.06	1.200000	0.05	0.06	0.05	0.05	0.0500	0.0550	1.100000	NO
sa_csmith_403.c	0.10	0.12	1.200000	0.11	0.11	0.10	0.11	0.1050	0.1100	1.047619	NO
sa_csmith_406.c	0.05	0.06	1.200000	0.07	0.06	0.06	0.07	0.0650	0.0650	1.000000	NO
sa_csmith_44.c	0.08	0.09	1.125000	0.08	0.09	0.09	0.10	0.0850	0.0950	1.117647	YES
sa_csmith_441.c	0.05	0.06	1.200000	0.06	0.06	0.05	0.05	0.0550	0.0550	1.000000	NO
sa_csmith_451.c	0.05	0.06	1.200000	0.05	0.06	0.06	0.05	0.0550	0.0550	1.000000	NO
sa_csmith_460.c	0.05	0.06	1.200000	0.06	0.05	0.06	0.06	0.0600	0.0550	0.916667	NO
sa_csmith_51.c	0.05	0.06	1.200000	0.06	0.06	0.05	0.07	0.0550	0.0650	1.181818	YES
sa_csmith_56.c	0.05	0.06	1.200000	0.05	0.05	0.05	0.05	0.0500	0.0500	1.000000	NO
sa_csmith_7.c	0.05	0.07	1.400000	0.06	0.06	0.06	0.05	0.0600	0.0550	0.916667	NO
