File "frontend/model/driver.lem", line 145, character 3 to line 163, character 3	  MISSING 'Exception.Result(Undefined.Stopped _)'
File "frontend/model/driver.lem", line 180, character 9 to line 187, character 11	  MISSING 'Undefined.Stopped _'
File "frontend/model/driver.lem", line 441, character 115 to line 450, character 9	  MISSING 'Either.Right(Undefined.Stopped _)'
File "frontend/model/driver.lem", line 409, character 105 to line 418, character 9	  MISSING 'Either.Right(Undefined.Stopped _)'
File "frontend/model/driver.lem", line 420, character 104 to line 439, character 9	  MISSING 'Either.Right(Undefined.Stopped _)'
File "frontend/model/state_exception_undefined.lem", line 16, character 3 to line 25, character 5	  MISSING 'Exception.Result(Undefined.Stopped _,_)'
File "frontend/model/state_exception_undefined.lem", line 39, character 3 to line 48, character 5	  MISSING 'Exception.Result(Undefined.Stopped _)'
File "frontend/model/exception_undefined.lem", line 13, character 3 to line 22, character 5	  MISSING 'Exception.Result(Undefined.Stopped _)'
File "frontend/model/formatted.lem", line 482, character 46 to line 507, character 21	  MISSING 'Either.Right(Undefined.Stopped _)'
File "frontend/model/formatted.lem", line 743, character 123 to line 781, character 11	  MISSING 'Either.Right(Undefined.Stopped _)'
File "frontend/model/nondeterminism.lem", line 260, character 16 to line 267, character 9	  MISSING 'Nondeterminism.Stopped _'
File "frontend/model/undefined.lem", line 1436, character 3 to line 1440, character 3	  MISSING 'Undefined.Stopped _'
File "frontend/model/undefined.lem", line 1461, character 3 to line 1465, character 5	  MISSING 'Undefined.Stopped _'
