check_driver_fresh: oracle OK (bin 7336b2e35e761cd553dcd196e944da00bcd981a0a2c512d10926c3bb91723478, src 98ad48b592a222a21e4619c5ce03652fc6a44c0a67c6b02cb222e1d40b1c701d)
1/242 semantic_agreement: ci/0001-emptymain.c (pristine 0.0s, fork 0.0s)
2/242 semantic_agreement: ci/0002-return_const.c (pristine 0.0s, fork 0.0s)
3/242 semantic_agreement: ci/0003-return_arith.c (pristine 0.0s, fork 0.0s)
4/242 semantic_agreement: ci/0004-return_var.c (pristine 0.0s, fork 0.0s)
5/242 semantic_agreement: ci/0005-return_var_arith.c (pristine 0.0s, fork 0.0s)
6/242 semantic_agreement: ci/0006-return_var_unspec.c (pristine 0.0s, fork 0.0s)
7/242 semantic_agreement: ci/0007-inits.c (pristine 0.0s, fork 0.0s)
8/242 semantic_agreement: ci/0008-cond_integer.c (pristine 0.0s, fork 0.0s)
9/242 semantic_agreement: ci/0009-cond-pointer.c (pristine 0.0s, fork 0.0s)
10/242 semantic_agreement: ci/0010-if_int.c (pristine 0.0s, fork 0.0s)
11/242 semantic_agreement: ci/0011-if_pointer.c (pristine 0.0s, fork 0.0s)
12/242 semantic_agreement: ci/0012-incr_integer.c (pristine 0.0s, fork 0.0s)
13/242 semantic_agreement: ci/0013-incr_pointer.c (pristine 0.0s, fork 0.0s)
14/242 semantic_agreement: ci/0015-while_break.c (pristine 0.0s, fork 0.0s)
15/242 semantic_agreement: ci/0016-do_break.c (pristine 0.0s, fork 0.0s)
16/242 semantic_agreement: ci/0017-for_simple.c (pristine 0.0s, fork 0.0s)
17/242 semantic_agreement: ci/0018-lt_promotion.c (pristine 0.0s, fork 0.0s)
18/242 semantic_agreement: ci/0019-arith_promotion.c (pristine 0.0s, fork 0.0s)
19/242 semantic_agreement: ci/0020-end_of_lifetime.undef.c (pristine 0.0s, fork 0.0s)
20/242 semantic_agreement: ci/0021-fact.c (pristine 0.0s, fork 0.0s)
21/242 semantic_agreement: ci/0022-while_continue.c (pristine 0.0s, fork 0.0s)
22/242 incomplete: ci/0023-jump1.c (pristine 30.0s, fork 30.0s)
23/242 semantic_agreement: ci/0024-jump2.c (pristine 0.0s, fork 0.0s)
24/242 incomplete: ci/0025-jump3.c (pristine 30.0s, fork 30.0s)
25/242 semantic_agreement: ci/0026-jump4.c (pristine 0.0s, fork 0.0s)
26/242 semantic_agreement: ci/0027-jump5.c (pristine 0.0s, fork 0.0s)
27/242 semantic_agreement: ci/0028-division_by_zero.undef.c (pristine 0.0s, fork 0.0s)
28/242 semantic_agreement: ci/0029-modulo_by_zero.undef.c (pristine 0.0s, fork 0.0s)
29/242 semantic_agreement: ci/0030-call_arith.c (pristine 0.0s, fork 0.0s)
30/242 semantic_agreement: ci/0031-global.c (pristine 0.0s, fork 0.0s)
31/242 semantic_agreement: ci/0032-empty_struct_decl.c (pristine 0.0s, fork 0.0s)
32/242 matching_failure: ci/0033-duplicate.error.c (pristine 0.0s, fork 0.0s)
33/242 matching_failure: ci/0034-duplicate_proto.error.c (pristine 0.0s, fork 0.0s)
34/242 matching_failure: ci/0035-thread_local_function.error.c (pristine 0.0s, fork 0.0s)
35/242 matching_failure: ci/0036-auto_register_function.error.c (pristine 0.0s, fork 0.0s)
36/242 matching_failure: ci/0037-function_conflicting_types.error.c (pristine 0.0s, fork 0.0s)
37/242 matching_failure: ci/0038-function_redefinition.error.c (pristine 0.0s, fork 0.0s)
38/242 semantic_agreement: ci/0039-struct_imcomplete.undef.c (pristine 0.0s, fork 0.0s)
39/242 matching_failure: ci/0040-struct_redefinition.error.c (pristine 0.0s, fork 0.0s)
40/242 matching_failure: ci/0041-struct_incompatible.error.c (pristine 0.0s, fork 0.0s)
41/242 semantic_agreement: ci/0042-struct_namespace.c (pristine 0.0s, fork 0.0s)
42/242 semantic_agreement: ci/0044-init_scalar_enclosed.c (pristine 0.0s, fork 0.0s)
43/242 semantic_agreement: ci/0045-global_postinit.c (pristine 0.0s, fork 0.0s)
44/242 semantic_agreement: ci/0046-jump_inside_lifetime.c (pristine 0.0s, fork 0.0s)
45/242 semantic_agreement: ci/0047-conditional_eq.c (pristine 0.0s, fork 0.0s)
46/242 semantic_agreement: ci/0048-conditional_eq_else.c (pristine 0.0s, fork 0.0s)
47/242 semantic_agreement: ci/0049-void_return_empty.c (pristine 0.0s, fork 0.0s)
48/242 semantic_agreement: ci/0050-void_return_arith.c (pristine 0.0s, fork 0.0s)
49/242 semantic_agreement: ci/0051-global_non_startup.c (pristine 0.0s, fork 0.0s)
50/242 matching_failure: ci/0052-global_not_constant.error.c (pristine 0.0s, fork 0.0s)
51/242 semantic_agreement: ci/0053-recursive_factorial5.c (pristine 0.0s, fork 0.0s)
52/242 semantic_agreement: ci/0054-while_factorial5.c (pristine 0.0s, fork 0.0s)
53/242 semantic_agreement: ci/0055-while_acc.c (pristine 0.0s, fork 0.0s)
54/242 semantic_agreement: ci/0056-unary_plus.c (pristine 0.0s, fork 0.0s)
55/242 semantic_agreement: ci/0057-std_footnote_118.c (pristine 0.0s, fork 0.0s)
56/242 semantic_agreement: ci/0058-pointer_zero_init.c (pristine 0.0s, fork 0.0s)
57/242 semantic_agreement: ci/0059-glob_coretyping.c (pristine 0.0s, fork 0.0s)
58/242 semantic_agreement: ci/0060-emptydecl.c (pristine 0.0s, fork 0.0s)
59/242 semantic_agreement: ci/0061-cond_call_e.c (pristine 0.0s, fork 0.0s)
60/242 semantic_agreement: ci/0062-cond_call_e2.c (pristine 0.0s, fork 0.0s)
61/242 semantic_agreement: ci/0063-cond_e.c (pristine 0.0s, fork 0.0s)
62/242 semantic_agreement: ci/0064-cond_e2.c (pristine 0.0s, fork 0.0s)
63/242 matching_failure: ci/0065-const1.error.c (pristine 0.0s, fork 0.0s)
64/242 matching_failure: ci/0066-const2.error.c (pristine 0.0s, fork 0.0s)
65/242 semantic_agreement: ci/0067-band1.c (pristine 0.0s, fork 0.0s)
66/242 semantic_agreement: ci/0068-bor1.c (pristine 0.0s, fork 0.0s)
67/242 semantic_agreement: ci/0069-const_expr.c (pristine 0.0s, fork 0.0s)
68/242 semantic_agreement: ci/0070-do-while1.c (pristine 0.0s, fork 0.0s)
69/242 semantic_agreement: ci/0071-do-while2.c (pristine 0.0s, fork 0.0s)
70/242 semantic_agreement: ci/0072-example03.c (pristine 0.0s, fork 0.0s)
71/242 semantic_agreement: ci/0073-example03.c (pristine 0.0s, fork 0.0s)
72/242 semantic_agreement: ci/0074-fun_returns.undef.c (pristine 0.0s, fork 0.0s)
73/242 matching_failure: ci/0075-funscoped_static.error.c (pristine 0.0s, fork 0.0s)
74/242 semantic_agreement: ci/0076-odd_even.c (pristine 0.0s, fork 0.0s)
75/242 semantic_agreement: ci/0077-register_arg.c (pristine 0.0s, fork 0.0s)
76/242 semantic_agreement: ci/0078-struct1.c (pristine 0.0s, fork 0.0s)
77/242 matching_failure: ci/0079-struct2.error.c (pristine 0.0s, fork 0.0s)
78/242 semantic_agreement: ci/0080-struct3.c (pristine 0.0s, fork 0.0s)
79/242 semantic_agreement: ci/0081-struct4.c (pristine 0.0s, fork 0.0s)
80/242 semantic_agreement: ci/0082-OK1.c (pristine 0.0s, fork 0.0s)
81/242 semantic_agreement: ci/0083-array_initializers.c (pristine 0.0s, fork 0.0s)
82/242 matching_failure: ci/0084-KO1.error.c (pristine 0.0s, fork 0.0s)
83/242 semantic_agreement: ci/0085-excess_array_initializer.c (pristine 0.0s, fork 0.0s)
84/242 semantic_agreement: ci/0086-literal_access.undef.c (pristine 0.0s, fork 0.0s)
85/242 semantic_agreement: ci/0087-array_with_delayed_size.c (pristine 0.0s, fork 0.0s)
86/242 semantic_agreement: ci/0101-sym_cfunction.c (pristine 0.0s, fork 0.0s)
87/242 semantic_agreement: ci/0105-incr.c (pristine 0.0s, fork 0.0s)
88/242 semantic_agreement: ci/0108-shifts.c (pristine 0.0s, fork 0.0s)
89/242 semantic_agreement: ci/0109-promotion_lt.c (pristine 0.0s, fork 0.0s)
90/242 semantic_agreement: ci/0110-loop_in_loop.c (pristine 0.0s, fork 0.0s)
91/242 semantic_agreement: ci/0111-skipped_label.c (pristine 0.0s, fork 0.0s)
92/242 semantic_agreement: ci/0112-call_in_label.c (pristine 0.0s, fork 0.0s)
93/242 matching_failure: ci/0113-cast_assign_parsing.error.c (pristine 0.0s, fork 0.0s)
94/242 matching_failure: ci/0114-const_return.error.c (pristine 0.0s, fork 0.0s)
