check_driver_fresh: oracle OK (bin 7336b2e35e761cd553dcd196e944da00bcd981a0a2c512d10926c3bb91723478, src 98ad48b592a222a21e4619c5ce03652fc6a44c0a67c6b02cb222e1d40b1c701d)
1/64 semantic_agreement: immaculate/nolibc/f3-escaped-high-byte-uchar (pristine 0.0s, fork 0.0s)
2/64 difference: immaculate/nolibc/f3-raw-high-byte-char-const (pristine 0.0s, fork 0.0s)
3/64 difference: immaculate/nolibc/f3-raw-high-byte-int (pristine 0.0s, fork 0.0s)
4/64 difference: immaculate/nolibc/f3-raw-high-byte-uchar (pristine 0.0s, fork 0.0s)
5/64 semantic_agreement: immaculate/nolibc/g1-ge-funptr (pristine 0.0s, fork 0.0s)
6/64 semantic_agreement: immaculate/nolibc/g1-lt-null (pristine 0.0s, fork 0.0s)
7/64 semantic_agreement: immaculate/nolibc/g3-realloc-dead (pristine 0.0s, fork 0.0s)
8/64 semantic_agreement: immaculate/nolibc/g3-realloc-non-heap (pristine 0.0s, fork 0.0s)
9/64 semantic_agreement: immaculate/nolibc/g4-bswap-controls (pristine 0.0s, fork 0.0s)
10/64 difference: immaculate/nolibc/g4-bswap64-overflow (pristine 0.0s, fork 0.0s)
11/64 semantic_agreement: immaculate/nolibc/g4-ctz-nonzero (pristine 0.0s, fork 0.0s)
12/64 semantic_agreement: immaculate/nolibc/g4-ffs-intmin (pristine 0.0s, fork 0.0s)
13/64 semantic_agreement: immaculate/nolibc/g4-ffs-negative (pristine 0.0s, fork 0.0s)
14/64 difference: immaculate/nolibc/g5-decode-multichar (pristine 0.0s, fork 0.0s)
15/64 difference: immaculate/nolibc/g5-decode-question (pristine 0.0s, fork 0.0s)
16/64 semantic_agreement: immaculate/nolibc/lock-const-global (pristine 0.0s, fork 0.0s)
17/64 semantic_agreement: immaculate/nolibc/lock-string-literal (pristine 0.0s, fork 0.0s)
18/64 semantic_agreement: immaculate/nolibc/offsetof-nested-struct (pristine 0.0s, fork 0.0s)
19/64 difference: immaculate/nolibc/offsetof-union-member (pristine 0.0s, fork 0.0s)
