check_driver_fresh: oracle OK (bin 7336b2e35e761cd553dcd196e944da00bcd981a0a2c512d10926c3bb91723478, src 98ad48b592a222a21e4619c5ce03652fc6a44c0a67c6b02cb222e1d40b1c701d)
1/855 semantic_agreement: minimal/001-return-literal.c (pristine 0.0s, fork 0.0s)
2/855 semantic_agreement: minimal/002-return-zero.c (pristine 0.0s, fork 0.0s)
3/855 semantic_agreement: minimal/003-arith-add.c (pristine 0.0s, fork 0.0s)
4/855 semantic_agreement: minimal/004-arith-sub.c (pristine 0.0s, fork 0.0s)
5/855 semantic_agreement: minimal/005-arith-mul.c (pristine 0.0s, fork 0.0s)
6/855 semantic_agreement: minimal/006-arith-div.c (pristine 0.0s, fork 0.0s)
7/855 semantic_agreement: minimal/007-local-var.c (pristine 0.0s, fork 0.0s)
8/855 semantic_agreement: minimal/008-local-var-arith.c (pristine 0.0s, fork 0.0s)
9/855 semantic_agreement: minimal/009-if-true.c (pristine 0.0s, fork 0.0s)
10/855 semantic_agreement: minimal/010-if-false.c (pristine 0.0s, fork 0.0s)
11/855 semantic_agreement: minimal/011-if-else.c (pristine 0.0s, fork 0.0s)
12/855 semantic_agreement: minimal/012-compare-eq.c (pristine 0.0s, fork 0.0s)
13/855 semantic_agreement: minimal/013-compare-lt.c (pristine 0.0s, fork 0.0s)
14/855 semantic_agreement: minimal/014-while-simple.c (pristine 0.0s, fork 0.0s)
15/855 semantic_agreement: minimal/015-while-sum.c (pristine 0.0s, fork 0.0s)
16/855 semantic_agreement: minimal/016-func-simple.c (pristine 0.0s, fork 0.0s)
17/855 semantic_agreement: minimal/017-func-recursive.c (pristine 0.0s, fork 0.0s)
18/855 semantic_agreement: minimal/018-increment.c (pristine 0.0s, fork 0.0s)
19/855 semantic_agreement: minimal/019-decrement.c (pristine 0.0s, fork 0.0s)
20/855 semantic_agreement: minimal/020-global-var.c (pristine 0.0s, fork 0.0s)
21/855 semantic_agreement: minimal/021-pointer-basic.c (pristine 0.0s, fork 0.0s)
22/855 semantic_agreement: minimal/022-pointer-write.c (pristine 0.0s, fork 0.0s)
23/855 semantic_agreement: minimal/023-array-read.c (pristine 0.0s, fork 0.0s)
24/855 semantic_agreement: minimal/024-array-write.c (pristine 0.0s, fork 0.0s)
25/855 semantic_agreement: minimal/025-struct-basic.c (pristine 0.0s, fork 0.0s)
26/855 semantic_agreement: minimal/026-ternary.c (pristine 0.0s, fork 0.0s)
27/855 semantic_agreement: minimal/027-for-loop.c (pristine 0.0s, fork 0.0s)
28/855 semantic_agreement: minimal/028-break.c (pristine 0.0s, fork 0.0s)
29/855 semantic_agreement: minimal/029-continue.c (pristine 0.0s, fork 0.0s)
30/855 semantic_agreement: minimal/030-negative.c (pristine 0.0s, fork 0.0s)
31/855 semantic_agreement: minimal/031-bitwise-and.c (pristine 0.0s, fork 0.0s)
32/855 semantic_agreement: minimal/032-bitwise-or.c (pristine 0.0s, fork 0.0s)
33/855 semantic_agreement: minimal/033-bitwise-xor.c (pristine 0.0s, fork 0.0s)
34/855 semantic_agreement: minimal/034-bitwise-not.c (pristine 0.0s, fork 0.0s)
35/855 semantic_agreement: minimal/035-shift-left.c (pristine 0.0s, fork 0.0s)
36/855 semantic_agreement: minimal/036-shift-right.c (pristine 0.0s, fork 0.0s)
37/855 semantic_agreement: minimal/037-logical-and.c (pristine 0.0s, fork 0.0s)
38/855 semantic_agreement: minimal/038-logical-or.c (pristine 0.0s, fork 0.0s)
39/855 semantic_agreement: minimal/039-compound-assign.c (pristine 0.0s, fork 0.0s)
40/855 semantic_agreement: minimal/040-do-while.c (pristine 0.0s, fork 0.0s)
41/855 semantic_agreement: minimal/041-switch.c (pristine 0.0s, fork 0.0s)
42/855 semantic_agreement: minimal/042-nested-loop.c (pristine 0.0s, fork 0.0s)
43/855 semantic_agreement: minimal/043-comma.c (pristine 0.0s, fork 0.0s)
44/855 semantic_agreement: minimal/044-void-func.c (pristine 0.0s, fork 0.0s)
45/855 semantic_agreement: minimal/045-ptr-arith.c (pristine 0.0s, fork 0.0s)
46/855 semantic_agreement: minimal/046-ptr-ptr.c (pristine 0.0s, fork 0.0s)
